Ethnicity 2 or More/Excluding Black (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity College Station Campus,,,,,,,,,,,,,,,,
Summer 2011,,,,,,,,,,,,,,,,
Summer 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Education,USEH,,,,,,,,,,,,,,,
,Subtotal,,3,3,12,,18,1,3,4,7,7,,,29,
Engineering,AERL,,,,,,,,,,,,,,,
,AERO,,,,1,,1,,2,2,,,,,3,
,BIOT,,,,,,,,,,,,,,,
,BMEL,,,,,,,,,,,,,,,
,BMEN,,,1,2,,3,,1,1,,,,,4,
,CECL,,,,,,,,,,,,,,,
,CECN,,,,1,,1,,,,,,,,1,
,CEEL,,,,,,,,,,,,,,,
,CEEN,,,,1,,1,,,,,,,,1,
,CHEL,,,1,,,1,,,,,,,,1,
,CHEN,,1,1,3,1,6,,1,1,,,,,7,
,CPSC,,,,,,,,1,1,,,,,1,
,CPSL,,,1,,,1,,,,,,,,1,
,CVEL,,1,1,,,2,,,,,,,,2,
,CVEN,,,1,3,,4,,,,1,1,,,5,
,ELEL,,,1,,,1,,,,,,,,1,
,ELEN,,,1,2,,3,,1,1,1,1,,,5,
,ENGR,,,,,,,,,,,,,,,
,ENSM,,,,,,,,,,,,,,,
,ENTC,,,,,,,,,,,,,,,
,ENTL,1,,,,,1,,,,,,,,1,
,HLPH,,,,,,,,,,,,,,,
,IDIL,,,1,,,1,,,,,,,,1,
,IDIS,,,1,,,1,,,,,,,,1,
,INEL,,,1,,,1,,,,,,,,1,
,INEN,,,,1,,1,,,,,,,,1,
,ITDE,,,,,,,,,,,,,,,
,MEEL,1,1,,,,2,,,,,,,,2,
,MEEN,,,,1,,1,,1,1,,,,,2,
,MSEN,,,,,,,,1,1,,,,,1,
,NUEL,,,,,,,,,,,,,,,
,NUEN,,,,,,,,2,2,,,,,2,
,OCEL,,1,,,,1,,,,,,,,1,
,OCEN,,,,,,,,,,,,,,,
,PETE,,,,,,,,,,,,,,,
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,,
