College Engineering,,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender College Station Campus,,,,,,,,,,,,,,,,,,,,,,,,
First-Time In College Students Summer 2011,,,,,,,,,,,,,,,,,,,,,,,,
Summer 2011,,White Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Asian Only (NEW),,,Native Hawaii Only (New),,American Indian Only (NEW),,2 or More/Excluding Black (NEW),,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,3,11,14,,4,4,4,9,13,1,1,2,,,,,,,,8,25,33,
TAMU Age Categories,<18,,,,,,,,,,,,,,,,,,,,,,,
,18-21,3,11,14,,4,4,4,9,13,1,1,2,,,,,,,,8,25,33,
Classification,Freshman,2,11,13,,4,4,4,8,12,1,1,2,,,,,,,,7,24,31,
,Sophomore,1,,1,,,,,1,1,,,,,,,,,,,1,1,2,
,Junior,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status,Resident Tuition,3,10,13,,4,4,4,9,13,1,1,2,,,,,,,,8,24,32,
,Non-Resident Tuition,,1,1,,,,,,,,,,,,,,,,,,1,1,
,Tuition Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,
Residency Status,Texas Resident,3,10,13,,4,4,4,9,13,1,1,2,,,,,,,,8,24,32,
,"Non-TX, US Resident",,1,1,,,,,,,,,,,,,,,,,,1,1,
SCH Categories,< 6 SCH,,1,1,,,,,,,,,,,,,,,,,,1,1,
,6-8 SCH,3,10,13,,4,4,4,9,13,1,1,2,,,,,,,,8,24,32,
,9-11 SCH,,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt:  TAMU Status,Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,
,Half-Time,3,11,14,,4,4,4,9,13,1,1,2,,,,,,,,8,25,33,
,Full-Time,,,,,,,,,,,,,,,,,,,,,,,
Top 10% Texas High School,No,2,6,8,,1,1,,2,2,,,,,,,,,,,2,9,11,
,Yes,1,5,6,,3,3,4,7,11,1,1,2,,,,,,,,6,16,22,
First Generation,No,3,11,14,,1,1,2,5,7,1,,1,,,,,,,,6,17,23,
,Unknown,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,,,,3,3,2,4,6,,1,1,,,,,,,,2,8,10,
On / Off Campus,Off Campus,,1,1,,,,,,,,,,,,,,,,,,1,1,
,On Campus,3,10,13,,4,4,4,9,13,1,1,2,,,,,,,,8,24,32,
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,,,,,,,,,,
