Ethnicity American Indian Only (NEW),,,,,,,,,,,,,,,,
Headcount by Department by Classification by Ethnicity College Station Campus,,,,,,,,,,,,,,,,
Summer 2011,,,,,,,,,,,,,,,,
Summer 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Agriculture,AGEC,,,,1,,1,,,,,,,,1,
,ALEC,,,2,2,,4,,,,,,,,4,
,ANSC,,1,2,,,3,,,,,,,,3,
,BAEN,,,,1,,1,,,,,,,,1,
,BCBP,,,,,,,,1,1,,,,,1,
,CLAG,,,,,,,,,,,,,,,
,ENTO,,,,,,,,,,,,,,,
,ESSM,,,1,,,1,,,,,,,,1,
,HRSC,,,,2,,2,,,,,,,,2,
,NFSC,,,,1,,1,,,,,,,,1,
,PLPM,,,1,,,1,,,,,,,,1,
,POSC,,,,,,,,,,,,,,,
,RPTS,,1,,,,1,,,,,,,,1,
,SCSC,,,,,,,,1,1,,,,,1,
,WFSC,,,1,,,1,,,,,,,,1,
,Subtotal,,2,7,7,,16,,2,2,,,,,18,
Architecture,ARCH,,,,,,,,,,,,,,,
,CLAR,,,,,,,,,,,,,,,
,COSC,,,,1,,1,,,,,,,,1,
,LAUP,,,,1,,1,,,,,,,,1,
,VIZA,,,,,,,,,,,,,,,
,Subtotal,,,,2,,2,,,,,,,,2,
Business Admin,ACCT,,,,,,,,1,1,,,,,1,
,CLBA,,,1,,,1,,,,,,,,1,
,FINC,,,,,,,,1,1,,,,,1,
,INFO,,,1,,,1,,,,,,,,1,
,MGMT,,,,,,,,,,,,,,,
,MKTG,,,,,,,,,,,,,,,
,Subtotal,,,2,,,2,,2,2,,,,,4,
Education,CLED,,,,,,,,,,,,,,,
,EAHR,,,,,,,,,,1,1,,,1,
,EPSY,,,,,,,,,,,,,,,
,HLKN,,,,4,1,5,,,,,,,,5,
,TLAC,,,,1,,1,,,,2,2,,,3,
,Subtotal,,,,5,1,6,,,,3,3,,,9,
Engineering,AERO,,,,,,,,,,,,,,,
,BMEN,,,,,,,,,,,,,,,
,CHEN,,,1,,,1,,,,,,,,1,
,CLEN,,,,,,,,,,,,,,,
,CSCE,,,,1,,1,,,,,,,,1,
,CVEN,,,,,,,,,,,,,,,
,ECEN,,,,,,,,,,,,,,,
,ETID,,1,,,,1,,,,,,,,1,
,ISEN,,,1,,,1,,,,,,,,1,
,MEEN,,,,1,,1,,,,1,1,,,2,
,NUEN,,,1,,,1,,,,,,,,1,
,PETE,,,,,,,,,,,,,,,
,Subtotal,,1,3,2,,6,,,,1,1,,,7,
G. Bush School of Govt,BUSH,,,,,,,1,,1,,,,,1,
,Subtotal,,,,,,,1,,1,,,,,1,
Geosciences,ATMO,,,,,,,,,,,,,,,
,CLGE,,,1,,,1,,,,,,,,1,
,GEOG,,,,,,,,,,,,,,,
,GEPL,,,,,,,,,,,,,,,
,OCNG,,,,,,,,,,,,,,,
,Subtotal,,,1,,,1,,,,,,,,1,
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,,
