Demographic Summary by Entry Status College Station Campus,,,,,,,,,,,
Summer 2011,,,,,,,,,,,
Summer 2011,,Undergraduate,,,,Graduate,,,,Professional,
,,1st Time in College,1st Time Transfer,Readmitted,Continuing,1st Time PB,1st Time Graduate,Readmitted,Continuing,Continuing,
Head Count,Total,393,168,115,"11,048",77,510,10,"4,799",146,
Gender,Female,209,69,45,"5,260",32,259,5,"1,933",109,
,Male,184,99,70,"5,788",45,251,5,"2,866",37,
Ethnicity,White Only (NEW),244,118,81,"7,778",54,301,4,"1,978",128,
,Black Only + 2 or more/1 Black (NEW),36,2,3,494,2,18,2,197,1,
,Hispanic or Latino of any Race (NEW),92,28,22,"1,705",6,65,1,361,10,
,Asian Only (NEW),14,6,3,485,5,22,,144,6,
,Native Hawaii Only (New),1,,,11,,,,3,,
,American Indian Only (NEW),1,,,50,1,,,9,,
,International,,11,1,224,4,99,3,"2,041",,
,2 or More/Excluding Black (NEW),5,1,4,163,,3,,36,,
,Unknown or Not Reported,,2,1,138,5,2,,30,1,
TAMU Age Categories,<18,2,1,,,,,,,,
,18-21,391,115,15,"6,006",2,10,,10,,
,22-25,,39,69,"4,651",12,324,1,"1,504",72,
,26-30,,10,19,268,19,116,5,"1,899",65,
,31-39,,3,8,97,18,41,2,"1,061",6,
,40+,,,4,26,26,19,2,325,3,
College,Agriculture,4,62,40,"1,988",2,58,3,813,,
,Architecture,,10,4,413,,13,1,141,,
,Business Admin,4,18,1,"1,314",,158,,261,,
,Education,9,22,16,"1,319",5,101,2,699,,
,Engineering,33,17,10,"2,305",1,83,2,"1,630",,
,G. Bush School of Govt,,,,,41,1,,60,,
,Geosciences,14,,2,220,2,7,1,186,,
,Liberal Arts,1,34,27,"2,029",,22,1,292,,
,Science,5,3,5,527,17,56,,604,,
,Veterinary Medicine,1,,3,324,,10,,105,146,
,General Studies,322,2,7,597,,,,,,
,Other - Special Populations,,,,12,9,1,,8,,
Student Level,Lower,392,89,12,"1,546",,,,,,
,Upper,1,79,103,"9,502",,,,,,
,Masters,,,,,77,340,5,"2,259",,
,PhD,,,,,,170,5,"2,540",,
,Professional,,,,,,,,,146,
Tuition Status,Resident Tuition,361,150,107,"10,123",58,343,5,"1,894",136,
,Non-Resident Tuition,23,16,4,357,15,28,3,655,2,
,Tuition Exemption/Waiver,9,2,4,568,4,139,2,"2,250",8,
Residency Status,Texas Resident,369,153,111,"10,403",65,356,6,"2,008",136,
,"Non-TX, US Resident",24,4,3,422,8,56,1,741,10,
,"Non-TX, Non-US Resident",,11,1,223,4,98,3,"2,050",,
SCH Categories,< 6 SCH,21,89,35,"4,086",51,101,7,"1,607",16,
,6-8 SCH,367,47,43,"4,421",24,241,2,"2,969",127,
,9-11 SCH,5,22,19,"1,549",1,90,1,168,1,
,12-14 SCH,,10,15,925,1,73,,52,,
,15-17 SCH,,,3,62,,5,,3,,
,>17 SCH,,,,5,,,,,2,
Ft/Pt: TAMU Status,Less Than Half Time,5,69,26,"3,179",,12,3,657,,
,Half-Time,383,66,52,"5,042",52,93,4,888,16,
,Full-Time,5,33,37,"2,827",25,405,3,"3,254",130,
First Generation,No,256,105,85,"7,566",30,218,9,"2,758",63,
,Unknown,8,12,3,602,20,192,,671,68,
,Yes,129,51,27,"2,880",27,100,1,"1,370",15,
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,
