College Engineering,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender First-Time Undergraduate Transfer Students,,,,,,,,,,,,,,,,,,,,,,,
College Station Campus Summer 2011,,,,,,,,,,,,,,,,,,,,,,,
Summer 2011,,White Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,,Asian Only (NEW),,,International,,,2 or More/Excluding Black (NEW),,Unknown or Not Reported,,Grand Total,,,
,,F,M,Tot,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,Tot,M,Tot,F,M,Tot,
Headcount Total,,2,7,9,,,,1,1,1,,1,,5,5,,,1,1,3,14,17,
TAMU Age Categories,<18,,,,,,,,,,,,,,,,,,,,,,
,18-21,2,5,7,,,,,,1,,1,,3,3,,,,,3,8,11,
,22-25,,1,1,,,,1,1,,,,,2,2,,,,,,4,4,
,26-30,,1,1,,,,,,,,,,,,,,1,1,,2,2,
,31-39,,,,,,,,,,,,,,,,,,,,,,
Classification,Freshman,,,,,,,,,,,,,,,,,,,,,,
,Sophomore,1,4,5,,,,,,1,,1,,2,2,,,,,2,6,8,
,Junior,1,1,2,,,,1,1,,,,,1,1,,,1,1,1,4,5,
,Senior,,1,1,,,,,,,,,,2,2,,,,,,3,3,
,PB,,1,1,,,,,,,,,,,,,,,,,1,1,
Tuition Status,Resident Tuition,2,7,9,,,,1,1,1,,1,,,,,,1,1,3,9,12,
,Non-Resident Tuition,,,,,,,,,,,,,5,5,,,,,,5,5,
,Tuition Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,
Residency Status,Texas Resident,2,7,9,,,,1,1,1,,1,,,,,,1,1,3,9,12,
,"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,
,"Non-TX, Non-US Resident",,,,,,,,,,,,,5,5,,,,,,5,5,
SCH Categories,< 6 SCH,,3,3,,,,,,1,,1,,2,2,,,,,1,5,6,
,6-8 SCH,1,4,5,,,,1,1,,,,,2,2,,,1,1,1,8,9,
,9-11 SCH,1,,1,,,,,,,,,,,,,,,,1,,1,
,12-14 SCH,,,,,,,,,,,,,1,1,,,,,,1,1,
Ft/Pt:  TAMU Status,Less Than Half Time,,,,,,,,,1,,1,,,,,,,,1,,1,
,Half-Time,1,7,8,,,,1,1,,,,,3,3,,,1,1,1,12,13,
,Full-Time,1,,1,,,,,,,,,,2,2,,,,,1,2,3,
Top 10% Texas High School,No,2,5,7,,,,1,1,1,,1,,5,5,,,1,1,3,12,15,
,Yes,,2,2,,,,,,,,,,,,,,,,,2,2,
First Generation,No,2,6,8,,,,,,,,,,,,,,,,2,6,8,
,Unknown,,,,,,,,,,,,,5,5,,,,,,5,5,
,Yes,,1,1,,,,1,1,1,,1,,,,,,1,1,1,3,4,
On / Off Campus,Off Campus,2,7,9,,,,,,1,,1,,5,5,,,1,1,3,13,16,
,On Campus,,,,,,,1,1,,,,,,,,,,,,1,1,
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,,,,,,,,,
