Ethnicity 2 or More/Excluding Black (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity College Station Campus,,,,,,,,,,,,,,,,
Summer 2011,,,,,,,,,,,,,,,,
Summer 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Agriculture,PPRO,,,,,,,,,,,,,,,
,PREP,,,,,,,,,,,,,,,
,RENR,,,,,,,,,,,,,,,
,RLEM,,,,,,,,,,,,,,,
,RPTS,,,,1,,1,,,,,,,,1,
,SOSC,,,,,,,,,,,,,,,
,SPSA,,,,1,,1,,,,,,,,1,
,TOXI,,,,,,,,,,,,,,,
,USAL,,,,2,,2,,,,,,,,2,
,WFSC,,,1,,,1,,,,,,,,1,
,WISC,,,,,,,,,,,,,,,
,WMHS,,,,,,,,,,,,,,,
,Subtotal,,4,12,18,,34,,3,3,,,,,37,
Architecture,ARCH,,,,,,,,,,,,,,,
,COMG,,,,,,,,1,1,,,,,1,
,COSC,,,,2,,2,,,,,,,,2,
,COSL,,,3,,,3,,,,,,,,3,
,ENDL,,,1,,,1,,,,,,,,1,
,ENDS,,,1,,,1,,,,,,,,1,
,LAND,,,1,,,1,,1,1,,,,,2,
,LANL,,1,1,,,2,,,,,,,,2,
,LDEV,,,,,,,,,,,,,,,
,NUTR,,,,,,,,,,,,,,,
,URPL,,,,,,,,,,,,,,,
,URSC,,,,,,,,,,,,,,,
,USAR,,,1,1,,2,,,,,,,,2,
,VISL,,,,,,,,,,,,,,,
,VIST,,,,,,,,,,,,,,,
,Subtotal,,1,8,3,,12,,2,2,,,,,14,
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,,
