Ethnicity Black Only + 2 or more/1 Black (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity College Station Campus,,,,,,,,,,,,,,,,
Summer 2011,,,,,,,,,,,,,,,,
Summer 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Education,USEH,,,,,,,,,,,,,,,
,Subtotal,4,6,27,24,,61,,23,23,77,77,,,161,
Engineering,AERL,,1,,,,1,,,,,,,,1,
,AERO,,,,1,,1,,1,1,1,1,,,3,
,BIOT,,,,,,,,,,,,,,,
,BMEL,,3,1,,,4,,,,,,,,4,
,BMEN,,,,1,,1,,1,1,,,,,2,
,CECL,1,,,,,1,,,,,,,,1,
,CECN,,,1,1,,2,,,,1,1,,,3,
,CEEL,,1,,,,1,,,,,,,,1,
,CEEN,,,1,,,1,,,,,,,,1,
,CHEL,,,,,,,,,,,,,,,
,CHEN,,,1,5,,6,,1,1,,,,,7,
,CPSC,,,,3,,3,,1,1,1,1,,,5,
,CPSL,,1,1,,,2,,,,,,,,2,
,CVEL,1,,,,,1,,,,,,,,1,
,CVEN,,,3,8,,11,,1,1,,,,,12,
,ELEL,,,,,,,,,,,,,,,
,ELEN,,,1,6,,7,,1,1,1,1,,,9,
,ENGR,,,,,,,,,,,,,,,
,ENSM,,,,,,,,1,1,,,,,1,
,ENTC,,,,1,,1,,,,,,,,1,
,ENTL,,,2,1,,3,,,,,,,,3,
,HLPH,,,,,,,,,,,,,,,
,IDIL,,1,,,,1,,,,,,,,1,
,IDIS,,,4,3,,7,,,,,,,,7,
,INEL,,3,,1,,4,,,,,,,,4,
,INEN,,1,3,8,,12,,2,2,1,1,,,15,
,ITDE,,,,,,,,,,,,,,,
,MEEL,2,,,,,2,,,,,,,,2,
,MEEN,,,4,2,,6,,,,5,5,,,11,
,MSEN,,,,,,,,,,1,1,,,1,
,NUEL,,,,,,,,,,,,,,,
,NUEN,,,1,,,1,,1,1,1,1,,,3,
,OCEL,,,,,,,,,,,,,,,
,OCEN,,,,1,,1,,,,,,,,1,
,PETE,,,,,,,,3,3,2,2,,,5,
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,,
