Ethnicity Black Only + 2 or more/1 Black (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity College Station Campus,,,,,,,,,,,,,,,,
Summer 2011,,,,,,,,,,,,,,,,
Summer 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Science,APHY,,,,,,,,,,,,,,,
,APMS,,,1,1,,2,,,,,,,,2,
,BIOL,2,4,5,9,,20,,,,,,,,20,
,BMCB,,,,,,,,,,,,,,,
,BOTN,,,,,,,,,,,,,,,
,CHEM,,1,,2,,3,,,,6,6,,,9,
,GENE,,,,,,,,,,,,,,,
,MATH,,,1,1,,2,,,,1,1,,,3,
,MBIO,,1,,,,1,,,,,,,,1,
,MEPS,,,,,,,,,,,,,,,
,MSEN,,,,,,,,,,,,,,,
,PHYS,,,,1,,1,,1,1,1,1,,,3,
,STAT,,,,,,,,1,1,,,,,1,
,USSC,,,1,,,1,,,,,,,,1,
,ZOOL,,,,,,,,,,,,,,,
,Subtotal,2,6,8,14,,30,,2,2,8,8,,,40,
Veterinary Medicine,BIMS,1,3,3,3,,10,,1,1,,,,,11,
,BIOT,,,,,,,,,,,,,,,
,GENE,,,,,,,,,,,,,,,
,LAMD,,,,,,,,,,,,,,,
,STJR,,,,,,,,,,,,,,,
,TOXI,,,,,,,,,,,,,,,
,USVM,,,,,,,,,,,,,,,
,VPAT,,,,,,,,,,,,,,,
,VPHY,,,,,,,,,,,,,,,
,VTMD,,,,,,,,,,,,1,1,1,
,VTMI,,,,,,,,,,1,1,,,1,
,VTPH,,,,,,,,,,,,,,,
,Subtotal,1,3,3,3,,10,,1,1,1,1,1,1,13,
General Studies,GEST,36,32,10,,,78,,,,,,,,78,
,TEAM,,2,,,,2,,,,,,,,2,
,Subtotal,36,34,10,,,80,,,,,,,,80,
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,,
