College Business Admin,,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender College Station Campus,,,,,,,,,,,,,,,,,,,,,,,,
First-Time In College Students Summer 2011,,,,,,,,,,,,,,,,,,,,,,,,
Summer 2011,,White Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Asian Only (NEW),,,Native Hawaii Only (New),,American Indian Only (NEW),,2 or More/Excluding Black (NEW),,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,,4,4,,,,,,,,,,,,,,,,,,4,4,
TAMU Age Categories,<18,,,,,,,,,,,,,,,,,,,,,,,
,18-21,,4,4,,,,,,,,,,,,,,,,,,4,4,
Classification,Freshman,,4,4,,,,,,,,,,,,,,,,,,4,4,
,Sophomore,,,,,,,,,,,,,,,,,,,,,,,
,Junior,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status,Resident Tuition,,4,4,,,,,,,,,,,,,,,,,,4,4,
,Non-Resident Tuition,,,,,,,,,,,,,,,,,,,,,,,
,Tuition Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,
Residency Status,Texas Resident,,4,4,,,,,,,,,,,,,,,,,,4,4,
,"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,,
SCH Categories,< 6 SCH,,2,2,,,,,,,,,,,,,,,,,,2,2,
,6-8 SCH,,1,1,,,,,,,,,,,,,,,,,,1,1,
,9-11 SCH,,1,1,,,,,,,,,,,,,,,,,,1,1,
Ft/Pt:  TAMU Status,Less Than Half Time,,1,1,,,,,,,,,,,,,,,,,,1,1,
,Half-Time,,2,2,,,,,,,,,,,,,,,,,,2,2,
,Full-Time,,1,1,,,,,,,,,,,,,,,,,,1,1,
Top 10% Texas High School,No,,2,2,,,,,,,,,,,,,,,,,,2,2,
,Yes,,2,2,,,,,,,,,,,,,,,,,,2,2,
First Generation,No,,4,4,,,,,,,,,,,,,,,,,,4,4,
,Unknown,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,,,,,,,,,,,,,,,,,,,,,,
On / Off Campus,Off Campus,,3,3,,,,,,,,,,,,,,,,,,3,3,
,On Campus,,1,1,,,,,,,,,,,,,,,,,,1,1,
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,,,,,,,,,,
