College Science,,,,,,,,,,,,
Texas A&M University Student Enrollment Summary Student Head Count by Level by College College Station Compus,,,,,,,,,,,,
Summer 2011,,,,,,,,,,,,
Summer 2011,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total,540,100.0%,220,100.0%,457,100.0%,,,"1,217",100.0%,
,Female,283,52.4%,88,40.0%,142,31.1%,,,513,42.2%,
,Male,257,47.6%,132,60.0%,315,68.9%,,,704,57.8%,
Ethnicity,White Only (NEW),315,58.3%,108,49.1%,158,34.6%,,,581,47.7%,
,Black Only + 2 or more/1 Black (NEW),30,5.6%,2,.9%,8,1.8%,,,40,3.3%,
,Hispanic or Latino of any Race (NEW),96,17.8%,15,6.8%,21,4.6%,,,132,10.8%,
,Asian Only (NEW),51,9.4%,22,10.0%,7,1.5%,,,80,6.6%,
,Native Hawaii Only (New),,,,,1,.2%,,,1,.1%,
,American Indian Only (NEW),2,.4%,,,1,.2%,,,3,.2%,
,International,12,2.2%,66,30.0%,253,55.4%,,,331,27.2%,
,2 or More/Excluding Black (NEW),9,1.7%,2,.9%,5,1.1%,,,16,1.3%,
,Unknown or Not Reported,25,4.6%,5,2.3%,3,.7%,,,33,2.7%,
,Total,540,100.0%,220,100.0%,457,100.0%,,,"1,217",100.0%,
TAMU Age Categories,<18,1,.2%,,,,,,,1,.1%,
,18-21,336,62.2%,1,.5%,,,,,337,27.7%,
,22-25,186,34.4%,92,41.8%,99,21.7%,,,377,31.0%,
,26-30,12,2.2%,68,30.9%,250,54.7%,,,330,27.1%,
,31-39,4,.7%,35,15.9%,100,21.9%,,,139,11.4%,
,40+,1,.2%,24,10.9%,8,1.8%,,,33,2.7%,
Enrollment Status,1st Time in College,5,.9%,,,,,,,5,.4%,
,1st Time PB,,,17,7.7%,,,,,17,1.4%,
,1st Time Graduate,,,22,10.0%,34,7.4%,,,56,4.6%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,3,.6%,,,,,,,3,.2%,
,Readmitted,5,.9%,,,,,,,5,.4%,
,Continuing,527,97.6%,181,82.3%,423,92.6%,,,"1,131",92.9%,
Tuition Status,Resident Tuition,473,87.6%,105,47.7%,88,19.3%,,,666,54.7%,
,Non-Resident Tuition,38,7.0%,8,3.6%,22,4.8%,,,68,5.6%,
,Tuition Exemption/Waiver,29,5.4%,107,48.6%,347,75.9%,,,483,39.7%,
Residency Status,Texas Resident,494,91.5%,110,50.0%,95,20.8%,,,699,57.4%,
,"Non-TX, US Resident",36,6.7%,44,20.0%,108,23.6%,,,188,15.4%,
,"Non-TX, Non-US Resident",10,1.9%,66,30.0%,254,55.6%,,,330,27.1%,
SCH Categories,< 6 SCH,251,46.5%,78,35.5%,54,11.8%,,,383,31.5%,
,6-8 SCH,202,37.4%,137,62.3%,400,87.5%,,,739,60.7%,
,9-11 SCH,67,12.4%,5,2.3%,2,.4%,,,74,6.1%,
,12-14 SCH,19,3.5%,,,1,.2%,,,20,1.6%,
,15-17 SCH,1,.2%,,,,,,,1,.1%,
,>17 SCH,,,,,,,,,,,
Ft/Pt:  TAMU Status,Less Than Half Time,170,31.5%,5,2.3%,15,3.3%,,,190,15.6%,
,Half-Time,265,49.1%,76,34.5%,40,8.8%,,,381,31.3%,
,Full-Time,105,19.4%,139,63.2%,402,88.0%,,,646,53.1%,
Top 10% Texas High School,No,300,55.6%,215,97.7%,442,96.7%,,,957,78.6%,
,Yes,240,44.4%,5,2.3%,15,3.3%,,,260,21.4%,
First Generation,No,357,66.1%,111,50.5%,246,53.8%,,,714,58.7%,
,Unknown,53,9.8%,35,15.9%,62,13.6%,,,150,12.3%,
,Yes,130,24.1%,74,33.6%,149,32.6%,,,353,29.0%,
"Prepared by OISP, 8/12/2011",,,,,,,,,,,,
