Ethnicity 2 or More/Excluding Black (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity College Station Campus,,,,,,,,,,,,,,,,
Summer 2011,,,,,,,,,,,,,,,,
Summer 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Business Admin,ACCT,,,2,1,,3,,1,1,,,,,4,
,AGBU,,,,,,,,,,,,,,,
,BHNR,,,,,,,,,,,,,,,
,BUAD,,1,1,,,2,,,,,,,,2,
,FINC,,,,3,,3,,,,,,,,3,
,INFO,,,1,,,1,,,,,,,,1,
,MGMT,,,,2,,2,,,,,,,,2,
,MISY,,,,,,,,,,,,,,,
,MKTG,,,,1,,1,,,,,,,,1,
,MLER,,,,,,,,,,,,,,,
,USBU,,,2,2,,4,,,,,,,,4,
,Subtotal,,1,6,9,,16,,1,1,,,,,17,
Education,BIED,,,,,,,,,,,,,,,
,CPSY,,,,,,,,,,1,1,,,1,
,EDAD,,,,,,,,,,1,1,,,1,
,EDCI,,,,,,,1,,1,2,2,,,3,
,EDHL,,1,,1,,2,,,,,,,,2,
,EDIS,,,,,,,,,,,,,,,
,EDKI,,2,1,,,3,,,,,,,,3,
,EDSM,,,1,,,1,,,,,,,,1,
,EDTC,,,,,,,,1,1,,,,,1,
,EHRD,,,,,,,,1,1,1,1,,,2,
,EPSY,,,,,,,,1,1,1,1,,,2,
,HEED,,,,,,,,,,1,1,,,1,
,HLTH,,,,1,,1,,,,,,,,1,
,HRDL,,,,,,,,,,,,,,,
,HRDV,,,,1,,1,,,,,,,,1,
,INST,,,,3,,3,,,,,,,,3,
,KINE,,,,2,,2,,,,,,,,2,
,NUTR,,,,,,,,,,,,,,,
,PHED,,,,,,,,,,,,,,,
,SPED,,,,,,,,,,,,,,,
,SPMT,,,1,3,,4,,,,,,,,4,
,SPSY,,,,,,,,,,,,,,,
,TCMG,,,,1,,1,,,,,,,,1,
,TCML,,,,,,,,,,,,,,,
,TECR,,,,,,,,,,,,,,,
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,,
