Ethnicity 2 or More/Excluding Black (NEW),,,,,,,,,,,,,,,,
Headcount by Department by Classification by Ethnicity College Station Campus,,,,,,,,,,,,,,,,
Summer 2011,,,,,,,,,,,,,,,,
Summer 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Agriculture,AGEC,,1,2,3,,6,,,,,,,,6,
,ALEC,,,,4,,4,,,,,,,,4,
,ANSC,,,1,3,,4,,1,1,,,,,5,
,BAEN,,,2,1,,3,,1,1,,,,,4,
,BCBP,,1,,1,,2,,,,,,,,2,
,CLAG,,1,,,,1,,,,,,,,1,
,ENTO,,,1,2,,3,,,,,,,,3,
,ESSM,,,,1,,1,,,,,,,,1,
,HRSC,,,1,,,1,,,,,,,,1,
,NFSC,,1,1,1,,3,,,,,,,,3,
,PLPM,,,2,1,,3,,,,,,,,3,
,POSC,,,,,,,,1,1,,,,,1,
,RPTS,,,,1,,1,,,,,,,,1,
,SCSC,,,1,,,1,,,,,,,,1,
,WFSC,,,1,,,1,,,,,,,,1,
,Subtotal,,4,12,18,,34,,3,3,,,,,37,
Architecture,ARCH,,,2,,,2,,,,,,,,2,
,CLAR,,,1,1,,2,,,,,,,,2,
,COSC,,,3,2,,5,,1,1,,,,,6,
,LAUP,,1,2,,,3,,1,1,,,,,4,
,VIZA,,,,,,,,,,,,,,,
,Subtotal,,1,8,3,,12,,2,2,,,,,14,
Business Admin,ACCT,,,2,1,,3,,1,1,,,,,4,
,CLBA,,1,3,2,,6,,,,,,,,6,
,FINC,,,,3,,3,,,,,,,,3,
,INFO,,,1,,,1,,,,,,,,1,
,MGMT,,,,2,,2,,,,,,,,2,
,MKTG,,,,1,,1,,,,,,,,1,
,Subtotal,,1,6,9,,16,,1,1,,,,,17,
Education,CLED,,,,,,,,,,,,,,,
,EAHR,,,,2,,2,,1,1,2,2,,,5,
,EPSY,,,,,,,,2,2,2,2,,,4,
,HLKN,,3,3,7,,13,,,,1,1,,,14,
,TLAC,,,,3,,3,1,,1,2,2,,,6,
,Subtotal,,3,3,12,,18,1,3,4,7,7,,,29,
Engineering,AERO,,,,1,,1,,2,2,,,,,3,
,BMEN,,,1,2,,3,,1,1,,,,,4,
,CHEN,,1,2,3,1,7,,1,1,,,,,8,
,CLEN,,,,,,,,,,,,,,,
,CSCE,,,1,1,,2,,1,1,,,,,3,
,CVEN,,2,2,3,,7,,,,1,1,,,8,
,ECEN,,,2,3,,5,,1,1,1,1,,,7,
,ETID,1,,2,,,3,,,,,,,,3,
,ISEN,,,1,1,,2,,,,,,,,2,
,MEEN,1,1,,1,,3,,2,2,,,,,5,
,NUEN,,,2,,,2,,2,2,,,,,4,
,PETE,,,,,,,,,,,,,,,
,Subtotal,2,4,13,15,1,35,,10,10,2,2,,,47,
G. Bush School of Govt,BUSH,,,,,,,1,,1,,,,,1,
,Subtotal,,,,,,,1,,1,,,,,1,
Geosciences,ATMO,,1,,,,1,,,,,,,,1,
,CLGE,,,,,,,,,,,,,,,
,GEOG,,,,1,,1,,,,1,1,,,2,
,GEPL,1,,1,,,2,,,,,,,,2,
,OCNG,,,,,,,,,,,,,,,
,Subtotal,1,1,1,1,,4,,,,1,1,,,5,
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,,
