Ethnicity Black Only + 2 or more/1 Black (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity College Station Campus,,,,,,,,,,,,,,,,
Summer 2011,,,,,,,,,,,,,,,,
Summer 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Business Admin,ACCT,,,1,8,,9,,4,4,,,,,13,
,AGBU,,,,,,,,,,,,,,,
,BHNR,,,1,1,,2,,,,,,,,2,
,BUAD,3,4,6,,,13,,1,1,,,,,14,
,FINC,,1,,2,,3,,2,2,,,,,5,
,INFO,,,2,4,,6,,,,,,,,6,
,MGMT,,,,6,,6,,1,1,,,,,7,
,MISY,,,,,,,,,,,,,,,
,MKTG,,,2,6,,8,,,,,,,,8,
,MLER,,,,,,,,,,,,,,,
,USBU,,,,3,,3,,,,,,,,3,
,Subtotal,3,5,12,30,,50,,8,8,,,,,58,
Education,BIED,,,,,,,,,,,,,,,
,CPSY,,,,,,,,1,1,4,4,,,5,
,EDAD,,,,,,,,2,2,20,20,,,22,
,EDCI,,,,,,,,10,10,32,32,,,42,
,EDHL,,,5,1,,6,,,,,,,,6,
,EDIS,,1,2,,,3,,,,,,,,3,
,EDKI,,1,1,,,2,,,,,,,,2,
,EDSM,3,2,7,,,12,,,,,,,,12,
,EDTC,,,,,,,,,,,,,,,
,EHRD,,,,,,,,2,2,8,8,,,10,
,EPSY,,,,,,,,3,3,1,1,,,4,
,HEED,,,,,,,,,,6,6,,,6,
,HLTH,,,1,5,,6,,,,,,,,6,
,HRDL,1,1,3,4,,9,,,,,,,,9,
,HRDV,,,,3,,3,,,,,,,,3,
,INST,,,3,1,,4,,,,,,,,4,
,KINE,,,,4,,4,,1,1,4,4,,,9,
,NUTR,,,,,,,,,,,,,,,
,PHED,,,,,,,,,,,,,,,
,SPED,,,,,,,,2,2,,,,,2,
,SPMT,,1,4,6,,11,,2,2,,,,,13,
,SPSY,,,,,,,,,,2,2,,,2,
,TCMG,,,,,,,,,,,,,,,
,TCML,,,1,,,1,,,,,,,,1,
,TECR,,,,,,,,,,,,,,,
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,,
