College Geosciences,,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender College Station Campus,,,,,,,,,,,,,,,,,,,,,,,,
First-Time In College Students Summer 2011,,,,,,,,,,,,,,,,,,,,,,,,
Summer 2011,,White Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Asian Only (NEW),,,Native Hawaii Only (New),,American Indian Only (NEW),,2 or More/Excluding Black (NEW),,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,3,1,4,,1,1,3,4,7,,1,1,,,,,,1,1,6,8,14,
TAMU Age Categories,<18,,,,,,,,,,,,,,,,,,,,,,,
,18-21,3,1,4,,1,1,3,4,7,,1,1,,,,,,1,1,6,8,14,
Classification,Freshman,3,1,4,,1,1,3,4,7,,1,1,,,,,,1,1,6,8,14,
,Sophomore,,,,,,,,,,,,,,,,,,,,,,,
,Junior,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status,Resident Tuition,2,1,3,,1,1,3,4,7,,1,1,,,,,,1,1,5,8,13,
,Non-Resident Tuition,,,,,,,,,,,,,,,,,,,,,,,
,Tuition Exemption/Waiver,1,,1,,,,,,,,,,,,,,,,,1,,1,
Residency Status,Texas Resident,2,1,3,,1,1,3,4,7,,1,1,,,,,,1,1,5,8,13,
,"Non-TX, US Resident",1,,1,,,,,,,,,,,,,,,,,1,,1,
SCH Categories,< 6 SCH,3,1,4,,1,1,3,4,7,,1,1,,,,,,1,1,6,8,14,
,6-8 SCH,,,,,,,,,,,,,,,,,,,,,,,
,9-11 SCH,,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt:  TAMU Status,Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,
,Half-Time,3,1,4,,1,1,3,4,7,,1,1,,,,,,1,1,6,8,14,
,Full-Time,,,,,,,,,,,,,,,,,,,,,,,
Top 10% Texas High School,No,1,,1,,1,1,,2,2,,,,,,,,,1,1,1,4,5,
,Yes,2,1,3,,,,3,2,5,,1,1,,,,,,,,5,4,9,
First Generation,No,3,1,4,,,,1,1,2,,1,1,,,,,,1,1,4,4,8,
,Unknown,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,,,,1,1,2,3,5,,,,,,,,,,,2,4,6,
On / Off Campus,Off Campus,3,1,4,,1,1,3,4,7,,1,1,,,,,,1,1,6,8,14,
,On Campus,,,,,,,,,,,,,,,,,,,,,,,
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,,,,,,,,,,
