Ethnicity American Indian Only (NEW),,,,,,,,,,,,,,,,
Headcount by Department by Classification by Ethnicity College Station Campus,,,,,,,,,,,,,,,,
Summer 2011,,,,,,,,,,,,,,,,
Summer 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Liberal Arts,ANTH,,,,,,,,,,,,,,,
,CLLA,,,1,,,1,,,,,,,,1,
,COMM,,,2,,,2,,,,,,,,2,
,ECON,,,,,,,,,,,,,,,
,ENGL,,,2,1,,3,,,,,,,,3,
,EURO,,,,,,,,,,,,,,,
,HISP,,,,,,,,,,,,,,,
,HIST,,,,,,,,,,,,,,,
,PHUM,,,,1,,1,,,,,,,,1,
,POLS,,,,,,,,,,,,,,,
,PRFM,,,,,,,,,,,,,,,
,PSYC,,,,2,,2,,,,,,,,2,
,SOCI,,,1,1,,2,,,,,,,,2,
,Subtotal,,,6,5,,11,,,,,,,,11,
Science,BIOL,,,1,1,,2,,,,,,,,2,
,CHEM,,,,,,,,,,1,1,,,1,
,CLSC,,,,,,,,,,,,,,,
,MATH,,,,,,,,,,,,,,,
,PHYS,,,,,,,,,,,,,,,
,STAT,,,,,,,,,,,,,,,
,Subtotal,,,1,1,,2,,,,1,1,,,3,
Veterinary Medicine,CLVM,,,1,2,,3,,,,,,,,3,
,VIBS,,,,,,,,,,,,,,,
,VLCS,,,,,,,,,,,,,,,
,VSCS,,,,,,,,,,,,,,,
,VTPB,,,,,,,,,,,,,,,
,VTPP,,,,,,,,,,,,,,,
,Subtotal,,,1,2,,3,,,,,,,,3,
General Studies,GEST,1,1,,,,2,,,,,,,,2,
,Subtotal,1,1,,,,2,,,,,,,,2,
Other - Special Populations,CLMD,,,,,,,,,,,,,,,
,ECEN,,,,,,,,,,,,,,,
,MARB,,,,,,,,,,,,,,,
,MARS,,,,,,,,,,,,,,,
,MASE,,,,,,,,,,,,,,,
,MEEN,,,,,,,,,,,,,,,
,PETE,,,,,,,,,,,,,,,
,SRPH,,,,,,,,,,,,,,,
,Subtotal,,,,,,,,,,,,,,,
University,Total,1,4,21,24,1,51,1,4,5,5,5,,,61,
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,,
