Demographic Summary by Classification Professional Students College Station Compus,,,,,,
Summer 2011,,,,,,
Summer 2011,,V1: 1st Year Veterinary,V2: 2nd Year Veterinary,V4: 4th Year Veterinary,Grand Total,
Head Count,Total,12,4,130,146,
Gender,Female,11,4,94,109,
,Male,1,,36,37,
Ethnicity,White Only (NEW),10,4,114,128,
,Black Only + 2 or more/1 Black (NEW),,,1,1,
,Hispanic or Latino of any Race (NEW),,,10,10,
,Asian Only (NEW),1,,5,6,
,Unknown or Not Reported,1,,,1,
TAMU Age Categories,22-25,9,2,61,72,
,26-30,3,1,61,65,
,31-39,,1,5,6,
,40+,,,3,3,
College,Veterinary Medicine,12,4,130,146,
Enrollment Status,Continuing,12,4,130,146,
Tuition Status,Resident Tuition,12,3,121,136,
,Non-Resident Tuition,,1,1,2,
,Tuition Exemption/Waiver,,,8,8,
Residency Status,Texas Resident,12,3,121,136,
,"Non-TX, US Resident",,1,9,10,
SCH Categories,< 6 SCH,12,4,,16,
,6-8 SCH,,,127,127,
,9-11 SCH,,,1,1,
,>17 SCH,,,2,2,
Ft/Pt: TAMU Status,Half-Time,12,4,,16,
,Full-Time,,,130,130,
"Prepared by OISP, 11 Aug 11",,,,,,
