College Business Admin,,,,,,,,,,,,
Texas A&M University Student Enrollment Summary Student Head Count by Level by College College Station Compus,,,,,,,,,,,,
Summer 2011,,,,,,,,,,,,
Summer 2011,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total,"1,337",100.0%,359,100.0%,60,100.0%,,,"1,756",100.0%,
,Female,710,53.1%,163,45.4%,16,26.7%,,,889,50.6%,
,Male,627,46.9%,196,54.6%,44,73.3%,,,867,49.4%,
Ethnicity,White Only (NEW),"1,034",77.3%,235,65.5%,32,53.3%,,,"1,301",74.1%,
,Black Only + 2 or more/1 Black (NEW),50,3.7%,8,2.2%,,,,,58,3.3%,
,Hispanic or Latino of any Race (NEW),160,12.0%,21,5.8%,1,1.7%,,,182,10.4%,
,Asian Only (NEW),51,3.8%,23,6.4%,6,10.0%,,,80,4.6%,
,Native Hawaii Only (New),3,.2%,,,,,,,3,.2%,
,American Indian Only (NEW),2,.1%,2,.6%,,,,,4,.2%,
,International,21,1.6%,68,18.9%,20,33.3%,,,109,6.2%,
,2 or More/Excluding Black (NEW),16,1.2%,1,.3%,,,,,17,1.0%,
,Unknown or Not Reported,,,1,.3%,1,1.7%,,,2,.1%,
,Total,"1,337",100.0%,359,100.0%,60,100.0%,,,"1,756",100.0%,
TAMU Age Categories,<18,,,,,,,,,,,
,18-21,852,63.7%,11,3.1%,,,,,863,49.1%,
,22-25,457,34.2%,280,78.0%,3,5.0%,,,740,42.1%,
,26-30,16,1.2%,54,15.0%,23,38.3%,,,93,5.3%,
,31-39,7,.5%,14,3.9%,30,50.0%,,,51,2.9%,
,40+,5,.4%,,,4,6.7%,,,9,.5%,
Enrollment Status,1st Time in College,4,.3%,,,,,,,4,.2%,
,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,152,42.3%,6,10.0%,,,158,9.0%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,18,1.3%,,,,,,,18,1.0%,
,Readmitted,1,.1%,,,,,,,1,.1%,
,Continuing,"1,314",98.3%,207,57.7%,54,90.0%,,,"1,575",89.7%,
Tuition Status,Resident Tuition,"1,274",95.3%,263,73.3%,12,20.0%,,,"1,549",88.2%,
,Non-Resident Tuition,19,1.4%,50,13.9%,,,,,69,3.9%,
,Tuition Exemption/Waiver,44,3.3%,46,12.8%,48,80.0%,,,138,7.9%,
Residency Status,Texas Resident,"1,299",97.2%,272,75.8%,17,28.3%,,,"1,588",90.4%,
,"Non-TX, US Resident",19,1.4%,19,5.3%,23,38.3%,,,61,3.5%,
,"Non-TX, Non-US Resident",19,1.4%,68,18.9%,20,33.3%,,,107,6.1%,
SCH Categories,< 6 SCH,487,36.4%,150,41.8%,4,6.7%,,,641,36.5%,
,6-8 SCH,498,37.2%,76,21.2%,56,93.3%,,,630,35.9%,
,9-11 SCH,195,14.6%,53,14.8%,,,,,248,14.1%,
,12-14 SCH,149,11.1%,74,20.6%,,,,,223,12.7%,
,15-17 SCH,8,.6%,6,1.7%,,,,,14,.8%,
,>17 SCH,,,,,,,,,,,
Ft/Pt:  TAMU Status,Less Than Half Time,471,35.2%,13,3.6%,,,,,484,27.6%,
,Half-Time,528,39.5%,141,39.3%,4,6.7%,,,673,38.3%,
,Full-Time,338,25.3%,205,57.1%,56,93.3%,,,599,34.1%,
Top 10% Texas High School,No,756,56.5%,357,99.4%,58,96.7%,,,"1,171",66.7%,
,Yes,581,43.5%,2,.6%,2,3.3%,,,585,33.3%,
First Generation,No,"1,025",76.7%,9,2.5%,6,10.0%,,,"1,040",59.2%,
,Unknown,43,3.2%,349,97.2%,52,86.7%,,,444,25.3%,
,Yes,269,20.1%,1,.3%,2,3.3%,,,272,15.5%,
"Prepared by OISP, 8/12/2011",,,,,,,,,,,,
