Ethnicity Hispanic or Latino of any Race (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity College Station Campus,,,,,,,,,,,,,,,,
Summer 2011,,,,,,,,,,,,,,,,
Summer 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Agriculture,PPRO,,,,,,,,,,,,,,,
,PREP,,,,,,,,3,3,,,,,3,
,RENR,,1,1,1,,3,,,,,,,,3,
,RLEM,,2,1,,,3,,1,1,7,7,,,11,
,RPTS,,,3,11,,14,,3,3,,,,,17,
,SOSC,,,,,,,,1,1,,,,,1,
,SPSA,,,,,,,,,,,,,,,
,TOXI,,,,,,,,,,1,1,,,1,
,USAL,,,1,12,,13,,,,,,,,13,
,WFSC,,1,7,12,,20,,7,7,8,8,,,35,
,WISC,,,,,,,,,,,,,,,
,WMHS,,,,,,,,,,,,,,,
,Subtotal,,17,68,168,2,255,,36,36,38,38,,,329,
Architecture,ARCH,,,,,,,,4,4,1,1,,,5,
,COMG,,,,,,,,2,2,,,,,2,
,COSC,,1,2,17,,20,,,,,,,,20,
,COSL,,4,5,4,,13,,,,,,,,13,
,ENDL,,5,6,,,11,,,,,,,,11,
,ENDS,,,3,9,,12,,,,,,,,12,
,LAND,,,,,,,,,,,,,,,
,LANL,,,2,,,2,,,,,,,,2,
,LDEV,,,,,,,,1,1,,,,,1,
,NUTR,,,,,,,,,,,,,,,
,URPL,,,,,,,,,,,,,,,
,URSC,,1,1,2,,4,,,,,,,,4,
,USAR,,,1,3,,4,,,,,,,,4,
,VISL,,,1,,,1,,,,,,,,1,
,VIST,,,3,2,,5,,4,4,,,,,9,
,Subtotal,,11,24,37,,72,,11,11,1,1,,,84,
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,,
