Ethnicity Unknown or Not Reported,,,,,,,,,,,,,,,,
Headcount by Department by Classification by Ethnicity College Station Campus,,,,,,,,,,,,,,,,
Summer 2011,,,,,,,,,,,,,,,,
Summer 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Agriculture,AGEC,,1,,,,1,,,,,,,,1,
,ALEC,,1,,,,1,,,,1,1,,,2,
,ANSC,,,,,1,1,,,,,,,,1,
,BAEN,,,,,,,,,,,,,,,
,BCBP,6,1,4,2,,13,,,,2,2,,,15,
,CLAG,,,,,,,,,,,,,,,
,ENTO,,,4,,,4,,,,1,1,,,5,
,ESSM,,,,,,,,,,,,,,,
,HRSC,,,,,,,,,,,,,,,
,NFSC,,,,,,,,,,,,,,,
,PLPM,,,3,6,,9,,,,1,1,,,10,
,POSC,,,,,,,,,,,,,,,
,RPTS,,,,,,,,,,,,,,,
,SCSC,,,,,,,,,,,,,,,
,WFSC,,,,,,,,1,1,,,,,1,
,Subtotal,6,3,11,8,1,29,,1,1,5,5,,,35,
Architecture,ARCH,,,,,,,,,,,,,,,
,CLAR,,,,,,,,,,,,,,,
,COSC,,,,,,,,,,,,,,,
,LAUP,,,,,,,,,,,,,,,
,VIZA,,,,,,,,,,,,,,,
,Subtotal,,,,,,,,,,,,,,,
Business Admin,ACCT,,,,,,,,1,1,1,1,,,2,
,CLBA,,,,,,,,,,,,,,,
,FINC,,,,,,,,,,,,,,,
,INFO,,,,,,,,,,,,,,,
,MGMT,,,,,,,,,,,,,,,
,MKTG,,,,,,,,,,,,,,,
,Subtotal,,,,,,,,1,1,1,1,,,2,
Education,CLED,,,,,,,,,,,,,,,
,EAHR,,,,,,,,,,2,2,,,2,
,EPSY,,,,,,,1,,1,,,,,1,
,HLKN,,,,,,,,,,,,,,,
,TLAC,,,,1,,1,,,,2,2,,,3,
,Subtotal,,,,1,,1,1,,1,4,4,,,6,
Engineering,AERO,,1,1,5,,7,,,,1,1,,,8,
,BMEN,,1,2,6,,9,,,,,,,,9,
,CHEN,1,,5,7,,13,,,,,,,,13,
,CLEN,1,1,2,1,,5,,,,,,,,5,
,CSCE,3,1,,4,,8,,,,,,,,8,
,CVEN,3,1,2,5,,11,,,,,,,,11,
,ECEN,,4,3,2,,9,,,,,,,,9,
,ETID,,,,,,,,,,,,,,,
,ISEN,,1,,,,1,,,,,,,,1,
,MEEN,1,2,3,1,,7,,,,,,,,7,
,NUEN,,,,1,,1,,,,,,,,1,
,PETE,,,,,,,,6,6,,,,,6,
,Subtotal,9,12,18,32,,71,,6,6,1,1,,,78,
G. Bush School of Govt,BUSH,,,,,,,2,,2,,,,,2,
,Subtotal,,,,,,,2,,2,,,,,2,
Geosciences,ATMO,,,,,,,,,,,,,,,
,CLGE,,,,,,,,,,,,,,,
,GEOG,,,,,,,,,,1,1,,,1,
,GEPL,1,,2,5,,8,,1,1,,,,,9,
,OCNG,,,,,,,,1,1,,,,,1,
,Subtotal,1,,2,5,,8,,2,2,1,1,,,11,
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,,
