College General Studies,,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender College Station Campus,,,,,,,,,,,,,,,,,,,,,,,,
First-Time In College Students Summer 2011,,,,,,,,,,,,,,,,,,,,,,,,
Summer 2011,,White Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Asian Only (NEW),,,Native Hawaii Only (New),,American Indian Only (NEW),,2 or More/Excluding Black (NEW),,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,129,79,208,10,16,26,42,30,72,5,5,10,1,1,1,1,4,,4,190,132,322,
TAMU Age Categories,<18,,,,,,,1,,1,1,,1,,,,,,,,2,,2,
,18-21,129,79,208,10,16,26,41,30,71,4,5,9,1,1,1,1,4,,4,188,132,320,
Classification,Freshman,125,78,203,10,16,26,42,29,71,4,5,9,1,1,1,1,4,,4,185,130,315,
,Sophomore,4,1,5,,,,,1,1,1,,1,,,,,,,,5,2,7,
,Junior,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status,Resident Tuition,119,71,190,7,13,20,40,30,70,5,5,10,1,1,1,1,4,,4,175,121,296,
,Non-Resident Tuition,8,4,12,2,3,5,1,,1,,,,,,,,,,,11,7,18,
,Tuition Exemption/Waiver,2,4,6,1,,1,1,,1,,,,,,,,,,,4,4,8,
Residency Status,Texas Resident,121,75,196,8,13,21,41,30,71,5,5,10,1,1,1,1,4,,4,179,125,304,
,"Non-TX, US Resident",8,4,12,2,3,5,1,,1,,,,,,,,,,,11,7,18,
SCH Categories,< 6 SCH,1,,1,,,,,,,,,,,,,,1,,1,2,,2,
,6-8 SCH,128,79,207,10,16,26,42,30,72,5,5,10,1,1,1,1,3,,3,188,132,320,
,9-11 SCH,,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt:  TAMU Status,Less Than Half Time,1,,1,,1,1,,,,,,,,,,,,,,1,1,2,
,Half-Time,128,79,207,10,15,25,42,30,72,5,5,10,1,1,1,1,4,,4,189,131,320,
,Full-Time,,,,,,,,,,,,,,,,,,,,,,,
Top 10% Texas High School,No,129,79,208,10,15,25,42,30,72,4,5,9,1,1,1,1,3,,3,188,131,319,
,Yes,,,,,1,1,,,,1,,1,,,,,1,,1,2,1,3,
First Generation,No,98,66,164,2,7,9,16,10,26,1,3,4,1,1,1,1,2,,2,119,88,207,
,Unknown,1,2,3,,,,2,1,3,1,,1,,,,,1,,1,5,3,8,
,Yes,30,11,41,8,9,17,24,19,43,3,2,5,,,,,1,,1,66,41,107,
On / Off Campus,Off Campus,9,11,20,3,9,12,5,,5,,,,,,,,1,,1,18,20,38,
,On Campus,120,68,188,7,7,14,37,30,67,5,5,10,1,1,1,1,3,,3,172,112,284,
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,,,,,,,,,,
