College Geosciences,,,,,,,,,,,,
Texas A&M University Student Enrollment Summary Student Head Count by Level by College College Station Compus,,,,,,,,,,,,
Summer 2011,,,,,,,,,,,,
Summer 2011,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total,236,100.0%,92,100.0%,104,100.0%,,,432,100.0%,
,Female,91,38.6%,43,46.7%,50,48.1%,,,184,42.6%,
,Male,145,61.4%,49,53.3%,54,51.9%,,,248,57.4%,
Ethnicity,White Only (NEW),166,70.3%,59,64.1%,38,36.5%,,,263,60.9%,
,Black Only + 2 or more/1 Black (NEW),8,3.4%,3,3.3%,1,1.0%,,,12,2.8%,
,Hispanic or Latino of any Race (NEW),40,16.9%,6,6.5%,1,1.0%,,,47,10.9%,
,Asian Only (NEW),1,.4%,3,3.3%,1,1.0%,,,5,1.2%,
,Native Hawaii Only (New),,,,,,,,,,,
,American Indian Only (NEW),1,.4%,,,,,,,1,.2%,
,International,8,3.4%,19,20.7%,61,58.7%,,,88,20.4%,
,2 or More/Excluding Black (NEW),4,1.7%,,,1,1.0%,,,5,1.2%,
,Unknown or Not Reported,8,3.4%,2,2.2%,1,1.0%,,,11,2.5%,
,Total,236,100.0%,92,100.0%,104,100.0%,,,432,100.0%,
TAMU Age Categories,<18,,,,,,,,,,,
,18-21,110,46.6%,,,,,,,110,25.5%,
,22-25,113,47.9%,43,46.7%,12,11.5%,,,168,38.9%,
,26-30,12,5.1%,36,39.1%,51,49.0%,,,99,22.9%,
,31-39,1,.4%,12,13.0%,34,32.7%,,,47,10.9%,
,40+,,,1,1.1%,7,6.7%,,,8,1.9%,
Enrollment Status,1st Time in College,14,5.9%,,,,,,,14,3.2%,
,1st Time PB,,,2,2.2%,,,,,2,.5%,
,1st Time Graduate,,,3,3.3%,4,3.8%,,,7,1.6%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,,,,,,,,,,,
,Readmitted,2,.8%,1,1.1%,,,,,3,.7%,
,Continuing,220,93.2%,86,93.5%,100,96.2%,,,406,94.0%,
Tuition Status,Resident Tuition,207,87.7%,39,42.4%,21,20.2%,,,267,61.8%,
,Non-Resident Tuition,17,7.2%,20,21.7%,24,23.1%,,,61,14.1%,
,Tuition Exemption/Waiver,12,5.1%,33,35.9%,59,56.7%,,,104,24.1%,
Residency Status,Texas Resident,215,91.1%,43,46.7%,22,21.2%,,,280,64.8%,
,"Non-TX, US Resident",13,5.5%,30,32.6%,21,20.2%,,,64,14.8%,
,"Non-TX, Non-US Resident",8,3.4%,19,20.7%,61,58.7%,,,88,20.4%,
SCH Categories,< 6 SCH,89,37.7%,34,37.0%,23,22.1%,,,146,33.8%,
,6-8 SCH,108,45.8%,58,63.0%,79,76.0%,,,245,56.7%,
,9-11 SCH,30,12.7%,,,1,1.0%,,,31,7.2%,
,12-14 SCH,9,3.8%,,,1,1.0%,,,10,2.3%,
,15-17 SCH,,,,,,,,,,,
,>17 SCH,,,,,,,,,,,
Ft/Pt:  TAMU Status,Less Than Half Time,60,25.4%,25,27.2%,21,20.2%,,,106,24.5%,
,Half-Time,135,57.2%,9,9.8%,2,1.9%,,,146,33.8%,
,Full-Time,41,17.4%,58,63.0%,81,77.9%,,,180,41.7%,
Top 10% Texas High School,No,161,68.2%,89,96.7%,101,97.1%,,,351,81.3%,
,Yes,75,31.8%,3,3.3%,3,2.9%,,,81,18.8%,
First Generation,No,150,63.6%,64,69.6%,42,40.4%,,,256,59.3%,
,Unknown,25,10.6%,4,4.3%,14,13.5%,,,43,10.0%,
,Yes,61,25.8%,24,26.1%,48,46.2%,,,133,30.8%,
"Prepared by OISP, 8/12/2011",,,,,,,,,,,,
