College Agriculture,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender First-Time Undergraduate Transfer Students,,,,,,,,,,,,,,,,,,,,,,,
College Station Campus Summer 2011,,,,,,,,,,,,,,,,,,,,,,,
Summer 2011,,White Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,,Asian Only (NEW),,,International,,,2 or More/Excluding Black (NEW),,Unknown or Not Reported,,Grand Total,,,
,,F,M,Tot,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,Tot,M,Tot,F,M,Tot,
Headcount Total,,15,36,51,1,1,3,4,7,1,,1,,,,1,1,1,1,20,42,62,
TAMU Age Categories,<18,,,,,,,,,,,,,,,,,,,,,,
,18-21,12,27,39,1,1,1,1,2,1,,1,,,,1,1,1,1,15,30,45,
,22-25,2,8,10,,,2,1,3,,,,,,,,,,,4,9,13,
,26-30,1,1,2,,,,,,,,,,,,,,,,1,1,2,
,31-39,,,,,,,2,2,,,,,,,,,,,,2,2,
Classification,Freshman,,1,1,,,,,,,,,,,,,,,,,1,1,
,Sophomore,5,15,20,1,1,3,1,4,,,,,,,1,1,1,1,9,18,27,
,Junior,9,19,28,,,,3,3,1,,1,,,,,,,,10,22,32,
,Senior,1,1,2,,,,,,,,,,,,,,,,1,1,2,
,PB,,,,,,,,,,,,,,,,,,,,,,
Tuition Status,Resident Tuition,14,36,50,1,1,2,4,6,1,,1,,,,1,1,1,1,18,42,60,
,Non-Resident Tuition,1,,1,,,1,,1,,,,,,,,,,,2,,2,
,Tuition Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,
Residency Status,Texas Resident,14,36,50,1,1,2,4,6,1,,1,,,,1,1,1,1,18,42,60,
,"Non-TX, US Resident",1,,1,,,1,,1,,,,,,,,,,,2,,2,
,"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,,,
SCH Categories,< 6 SCH,7,28,35,1,1,,3,3,1,,1,,,,1,1,1,1,9,33,42,
,6-8 SCH,5,2,7,,,3,1,4,,,,,,,,,,,8,3,11,
,9-11 SCH,1,5,6,,,,,,,,,,,,,,,,1,5,6,
,12-14 SCH,2,1,3,,,,,,,,,,,,,,,,2,1,3,
Ft/Pt:  TAMU Status,Less Than Half Time,6,23,29,1,1,,3,3,1,,1,,,,1,1,1,1,8,28,36,
,Half-Time,5,7,12,,,3,1,4,,,,,,,,,,,8,8,16,
,Full-Time,4,6,10,,,,,,,,,,,,,,,,4,6,10,
Top 10% Texas High School,No,14,35,49,1,1,3,4,7,1,,1,,,,1,1,1,1,19,41,60,
,Yes,1,1,2,,,,,,,,,,,,,,,,1,1,2,
First Generation,No,13,26,39,1,1,2,2,4,1,,1,,,,1,1,1,1,17,30,47,
,Unknown,,,,,,,,,,,,,,,,,,,,,,
,Yes,2,10,12,,,1,2,3,,,,,,,,,,,3,12,15,
On / Off Campus,Off Campus,15,36,51,1,1,3,4,7,1,,1,,,,1,1,1,1,20,42,62,
,On Campus,,,,,,,,,,,,,,,,,,,,,,
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,,,,,,,,,
