Demographic Summary by Classification First-Time In College Students,,,,,,
College Station Campus,,,,,,
Top 10% Texas High School Students Summer 2011,,,,,,
Summer 2011,,Freshman,Sophomore,Junior,Grand Total,
Headcount Total,,39,2,1,42,
Gender,Female,13,2,,15,
,Male,26,,1,27,
Ethnicity,White Only (NEW),15,1,1,17,
,Black Only + 2 or more/1 Black (NEW),4,,,4,
,Hispanic or Latino of any Race (NEW),16,,,16,
,Asian Only (NEW),3,1,,4,
,2 or More/Excluding Black (NEW),1,,,1,
TAMU Age Categories,18-21,39,2,1,42,
College,Agriculture,,,1,1,
,Business Admin,2,,,2,
,Education,1,,,1,
,Engineering,21,1,,22,
,Geosciences,9,,,9,
,Liberal Arts,1,,,1,
,Science,3,,,3,
,General Studies,2,1,,3,
Enrollment Status,1st Time in College,39,2,1,42,
Tuition Status,Resident Tuition,39,2,1,42,
Residency Status,Texas Resident,39,2,1,42,
SCH Categories,< 6 SCH,12,,,12,
,6-8 SCH,25,2,1,28,
,9-11 SCH,2,,,2,
Ft/Pt:  TAMU Status,Less Than Half Time,2,,,2,
,Half-Time,35,2,1,38,
,Full-Time,2,,,2,
First Generation,No,24,1,1,26,
,Yes,15,1,,16,
"Prepared by OISP, 11 Aug 11",,,,,,
