Headcount by Major by Level by Entry Status College Station Campus,,,,,,,,,,,,,,,
Summer 2011,,,,,,,,,,,,,,,
Summer 2011,,Undergraduate,,,,Masters,,,,PhD,,,Professional,Total,
,,1st Time in College,1st Time Transfer,Readmitted,Continuing,1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,Continuing,,
Agriculture,ADEV,,,,,,,,11,,,,,11,
,AGBL,2,9,,20,,,,,,,,,31,
,AGBU,,,,80,,4,,17,,,,,101,
,AGCJ,,6,2,105,,,,,,,,,113,
,AGEC,,19,1,201,,2,,27,,,37,,287,
,AGLS,,,,25,,,,,,,,,25,
,AGRO,,5,3,46,,,,11,,,8,,73,
,AGSC,,1,1,63,,,,,,,,,65,
,AGSM,,1,1,45,,,,2,,,,,49,
,ALEC,,,,,,5,,43,,1,39,,88,
,ALED,1,10,10,213,,,,,,,,,234,
,ANBR,,,,,,,,3,,,3,,6,
,ANSC,,3,4,221,,2,1,36,1,,13,,281,
,BAEN,,2,1,50,,1,,23,4,,18,,99,
,BESC,,1,1,110,,,,,,,,,112,
,BICH,1,,,56,,1,,23,15,,54,,150,
,BIOT,,,,,,,,9,,,,,9,
,CDEV,,,,14,,,,,,,,,14,
,DASC,,,,,,2,,,,,,,2,
,ECOR,,,,7,,,,,,,,,7,
,ENST,,,,7,,,,,,,,,7,
,ENTO,,,3,22,,,,13,,,29,,67,
,FISC,,,,,,,,1,,,,,1,
,FIVL,,,,7,,,,,,,,,7,
,FIVS,,,,13,,,,,,,,,13,
,FLOR,,,,1,,,,,,,,,1,
,FORS,,,,8,,,,4,2,,4,,18,
,FSTC,,,,45,,2,,14,,,15,,76,
,GENE,,,1,17,,,,15,,,17,,50,
,HORT,,1,2,54,,1,,12,,,12,,82,
,MEPS,,,,,,,,2,,,13,,15,
,NRDV,,,,,,1,,13,,,,,14,
,NUSC,,,2,143,,,,,,,,,145,
,NUTR,,,,,1,,,20,,,17,,38,
,PLBR,,,,,,1,1,16,,,24,,42,
,PLPA,,,,,,,,9,1,,16,,26,
,POSC,,2,,46,,5,,9,,,7,,69,
,PPRO,,,,,,,,1,,,,,1,
,PREP,,,,,,,,10,1,,7,,18,
,RENR,,,,18,,,,,,,,,18,
,RLEM,,1,,13,1,1,,10,1,,17,,44,
,RPTS,,,5,162,,1,,7,2,,17,,194,
,SOSC,,,,,,,,10,1,,10,,21,
,SPSA,,1,,8,,,,,,,,,9,
,TOXI,,,,,,,,,,,2,,2,
,USAL,,,2,87,,,,,,,,,89,
,WFSC,,,1,81,,1,,21,,,31,,135,
,WISC,,,,,,,,4,,,,,4,
,WMHS,,,,,,,,5,,,2,,7,
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,
