Ethnicity Native Hawaii Only (New),,,,,,,,,,,,,,,,
Headcount by Department by Classification by Ethnicity College Station Campus,,,,,,,,,,,,,,,,
Summer 2011,,,,,,,,,,,,,,,,
Summer 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Liberal Arts,ANTH,,,,,,,,,,,,,,,
,CLLA,,,,,,,,,,,,,,,
,COMM,,,,,,,,,,,,,,,
,ECON,,,,2,,2,,,,,,,,2,
,ENGL,,,,,,,,,,,,,,,
,EURO,,,,,,,,,,,,,,,
,HISP,,,,,,,,,,,,,,,
,HIST,,,,,,,,,,,,,,,
,PHUM,,,,,,,,,,,,,,,
,POLS,,,,,,,,,,,,,,,
,PRFM,,,,,,,,,,,,,,,
,PSYC,,,,,,,,,,,,,,,
,SOCI,,,,,,,,,,,,,,,
,Subtotal,,,,2,,2,,,,,,,,2,
Science,BIOL,,,,,,,,,,,,,,,
,CHEM,,,,,,,,,,,,,,,
,CLSC,,,,,,,,,,,,,,,
,MATH,,,,,,,,,,,,,,,
,PHYS,,,,,,,,,,1,1,,,1,
,STAT,,,,,,,,,,,,,,,
,Subtotal,,,,,,,,,,1,1,,,1,
Veterinary Medicine,CLVM,,,,,,,,,,,,,,,
,VIBS,,,,,,,,,,,,,,,
,VLCS,,,,,,,,,,,,,,,
,VSCS,,,,,,,,,,,,,,,
,VTPB,,,,,,,,,,,,,,,
,VTPP,,,,,,,,,,,,,,,
,Subtotal,,,,,,,,,,,,,,,
General Studies,GEST,1,,1,,,2,,,,,,,,2,
,Subtotal,1,,1,,,2,,,,,,,,2,
Other - Special Populations,CLMD,,,,,,,,,,,,,,,
,ECEN,,,,,,,,,,,,,,,
,MARB,,,,,,,,,,,,,,,
,MARS,,,,,,,,,,,,,,,
,MASE,,,,,,,,,,,,,,,
,MEEN,,,,,,,,,,,,,,,
,PETE,,,,,,,,,,,,,,,
,SRPH,,,,,,,,,,,,,,,
,Subtotal,,,,,,,,,,,,,,,
University,Total,1,1,5,5,,12,,,,3,3,,,15,
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,,
