College Liberal Arts,,,,,,,,,,,,
Texas A&M University Student Enrollment Summary Student Head Count by Level by College College Station Compus,,,,,,,,,,,,
Summer 2011,,,,,,,,,,,,
Summer 2011,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total,"2,091",100.0%,89,100.0%,226,100.0%,,,"2,406",100.0%,
,Female,"1,187",56.8%,45,50.6%,123,54.4%,,,"1,355",56.3%,
,Male,904,43.2%,44,49.4%,103,45.6%,,,"1,051",43.7%,
Ethnicity,White Only (NEW),"1,440",68.9%,52,58.4%,119,52.7%,,,"1,611",67.0%,
,Black Only + 2 or more/1 Black (NEW),106,5.1%,9,10.1%,20,8.8%,,,135,5.6%,
,Hispanic or Latino of any Race (NEW),391,18.7%,15,16.9%,43,19.0%,,,449,18.7%,
,Asian Only (NEW),84,4.0%,4,4.5%,6,2.7%,,,94,3.9%,
,Native Hawaii Only (New),2,.1%,,,,,,,2,.1%,
,American Indian Only (NEW),11,.5%,,,,,,,11,.5%,
,International,19,.9%,9,10.1%,36,15.9%,,,64,2.7%,
,2 or More/Excluding Black (NEW),33,1.6%,,,1,.4%,,,34,1.4%,
,Unknown or Not Reported,5,.2%,,,1,.4%,,,6,.2%,
,Total,"2,091",100.0%,89,100.0%,226,100.0%,,,"2,406",100.0%,
TAMU Age Categories,<18,,,,,,,,,,,
,18-21,"1,082",51.7%,,,,,,,"1,082",45.0%,
,22-25,918,43.9%,40,44.9%,28,12.4%,,,986,41.0%,
,26-30,59,2.8%,34,38.2%,104,46.0%,,,197,8.2%,
,31-39,22,1.1%,11,12.4%,73,32.3%,,,106,4.4%,
,40+,10,.5%,4,4.5%,21,9.3%,,,35,1.5%,
Enrollment Status,1st Time in College,1,.0%,,,,,,,1,.0%,
,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,7,7.9%,15,6.6%,,,22,.9%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,34,1.6%,,,,,,,34,1.4%,
,Readmitted,27,1.3%,,,1,.4%,,,28,1.2%,
,Continuing,"2,029",97.0%,82,92.1%,210,92.9%,,,"2,321",96.5%,
Tuition Status,Resident Tuition,"1,940",92.8%,32,36.0%,95,42.0%,,,"2,067",85.9%,
,Non-Resident Tuition,45,2.2%,10,11.2%,17,7.5%,,,72,3.0%,
,Tuition Exemption/Waiver,106,5.1%,47,52.8%,114,50.4%,,,267,11.1%,
Residency Status,Texas Resident,"2,004",95.8%,35,39.3%,99,43.8%,,,"2,138",88.9%,
,"Non-TX, US Resident",67,3.2%,44,49.4%,90,39.8%,,,201,8.4%,
,"Non-TX, Non-US Resident",20,1.0%,10,11.2%,37,16.4%,,,67,2.8%,
SCH Categories,< 6 SCH,616,29.5%,44,49.4%,110,48.7%,,,770,32.0%,
,6-8 SCH,865,41.4%,44,49.4%,115,50.9%,,,"1,024",42.6%,
,9-11 SCH,329,15.7%,1,1.1%,,,,,330,13.7%,
,12-14 SCH,265,12.7%,,,1,.4%,,,266,11.1%,
,15-17 SCH,13,.6%,,,,,,,13,.5%,
,>17 SCH,3,.1%,,,,,,,3,.1%,
Ft/Pt:  TAMU Status,Less Than Half Time,494,23.6%,8,9.0%,33,14.6%,,,535,22.2%,
,Half-Time,943,45.1%,37,41.6%,77,34.1%,,,"1,057",43.9%,
,Full-Time,654,31.3%,44,49.4%,116,51.3%,,,814,33.8%,
Top 10% Texas High School,No,"1,504",71.9%,86,96.6%,217,96.0%,,,"1,807",75.1%,
,Yes,587,28.1%,3,3.4%,9,4.0%,,,599,24.9%,
First Generation,No,"1,408",67.3%,56,62.9%,133,58.8%,,,"1,597",66.4%,
,Unknown,67,3.2%,5,5.6%,29,12.8%,,,101,4.2%,
,Yes,616,29.5%,28,31.5%,64,28.3%,,,708,29.4%,
"Prepared by OISP, 8/12/2011",,,,,,,,,,,,
