Headcount by Major by Level by Entry Status College Station Campus,,,,,,,,,,,,,,,
Summer 2011,,,,,,,,,,,,,,,
Summer 2011,,Undergraduate,,,,Masters,,,,PhD,,,Professional,Total,
,,1st Time in College,1st Time Transfer,Readmitted,Continuing,1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,Continuing,,
Agriculture,Subtotal,4,62,40,"1,988",2,30,2,401,28,1,412,,"2,970",
Architecture,ARCH,,,,,,10,,24,,,15,,49,
,COMG,,,,,,,1,16,,,,,17,
,COSC,,1,,182,,,,,,,,,183,
,COSL,,5,2,73,,,,,,,,,80,
,ENDL,,3,,31,,,,,,,,,34,
,ENDS,,,,41,,,,,,,,,41,
,LAND,,,,4,,,,11,,,,,15,
,LANL,,1,,14,,,,,,,,,15,
,LDEV,,,,,,1,,22,,,,,23,
,NUTR,,,,,,,,,,,1,,1,
,URPL,,,,,,2,,3,,,,,5,
,URSC,,,,16,,,,,,,11,,27,
,USAR,,,1,23,,,,,,,,,24,
,VISL,,,,5,,,,,,,,,5,
,VIST,,,1,24,,,,38,,,,,63,
,Subtotal,,10,4,413,,13,1,114,,,27,,582,
Business Admin,ACCT,,1,,393,,58,,31,6,,14,,503,
,AGBU,,,,2,,,,,,,,,2,
,BHNR,,,,45,,,,,,,,,45,
,BUAD,4,15,1,200,,,,30,,,,,250,
,FINC,,1,,211,,53,,26,,,11,,302,
,INFO,,,,120,,,,,,,4,,124,
,MGMT,,,,109,,6,,4,,,17,,136,
,MISY,,,,,,20,,58,,,,,78,
,MKTG,,1,,165,,14,,25,,,8,,213,
,MLER,,,,,,1,,33,,,,,34,
,USBU,,,,69,,,,,,,,,69,
,Subtotal,4,18,1,"1,314",,152,,207,6,,54,,"1,756",
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,
