College Education,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender First-Time Undergraduate Transfer Students,,,,,,,,,,,,,,,,,,,,,,,
College Station Campus Summer 2011,,,,,,,,,,,,,,,,,,,,,,,
Summer 2011,,White Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,,Asian Only (NEW),,,International,,,2 or More/Excluding Black (NEW),,Unknown or Not Reported,,Grand Total,,,
,,F,M,Tot,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,Tot,M,Tot,F,M,Tot,
Headcount Total,,14,3,17,,,4,1,5,,,,,,,,,,,18,4,22,
TAMU Age Categories,<18,,,,,,,,,,,,,,,,,,,,,,
,18-21,11,3,14,,,1,,1,,,,,,,,,,,12,3,15,
,22-25,3,,3,,,2,1,3,,,,,,,,,,,5,1,6,
,26-30,,,,,,1,,1,,,,,,,,,,,1,,1,
,31-39,,,,,,,,,,,,,,,,,,,,,,
Classification,Freshman,,,,,,,,,,,,,,,,,,,,,,
,Sophomore,7,1,8,,,1,,1,,,,,,,,,,,8,1,9,
,Junior,6,2,8,,,3,1,4,,,,,,,,,,,9,3,12,
,Senior,1,,1,,,,,,,,,,,,,,,,1,,1,
,PB,,,,,,,,,,,,,,,,,,,,,,
Tuition Status,Resident Tuition,14,3,17,,,4,1,5,,,,,,,,,,,18,4,22,
,Non-Resident Tuition,,,,,,,,,,,,,,,,,,,,,,
,Tuition Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,
Residency Status,Texas Resident,14,3,17,,,4,1,5,,,,,,,,,,,18,4,22,
,"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,
,"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,,,
SCH Categories,< 6 SCH,5,2,7,,,1,1,2,,,,,,,,,,,6,3,9,
,6-8 SCH,6,,6,,,3,,3,,,,,,,,,,,9,,9,
,9-11 SCH,3,1,4,,,,,,,,,,,,,,,,3,1,4,
,12-14 SCH,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt:  TAMU Status,Less Than Half Time,5,,5,,,1,1,2,,,,,,,,,,,6,1,7,
,Half-Time,7,2,9,,,3,,3,,,,,,,,,,,10,2,12,
,Full-Time,2,1,3,,,,,,,,,,,,,,,,2,1,3,
Top 10% Texas High School,No,14,2,16,,,4,1,5,,,,,,,,,,,18,3,21,
,Yes,,1,1,,,,,,,,,,,,,,,,,1,1,
First Generation,No,9,2,11,,,1,1,2,,,,,,,,,,,10,3,13,
,Unknown,1,,1,,,,,,,,,,,,,,,,1,,1,
,Yes,4,1,5,,,3,,3,,,,,,,,,,,7,1,8,
On / Off Campus,Off Campus,14,3,17,,,4,1,5,,,,,,,,,,,18,4,22,
,On Campus,,,,,,,,,,,,,,,,,,,,,,
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,,,,,,,,,
