Ethnicity International,,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity College Station Campus,,,,,,,,,,,,,,,,
Summer 2011,,,,,,,,,,,,,,,,
Summer 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Agriculture,PPRO,,,,,,,,,,,,,,,
,PREP,,,,,,,,1,1,3,3,,,4,
,RENR,,,,,,,,,,,,,,,
,RLEM,,,,,,,,1,1,4,4,,,5,
,RPTS,,,1,1,,2,,1,1,10,10,,,13,
,SOSC,,,,,,,,1,1,3,3,,,4,
,SPSA,,,,,,,,,,,,,,,
,TOXI,,,,,,,,,,,,,,,
,USAL,,,,,,,,,,,,,,,
,WFSC,,,,1,,1,,2,2,7,7,,,10,
,WISC,,,,,,,,,,,,,,,
,WMHS,,,,,,,,,,2,2,,,2,
,Subtotal,1,2,3,9,,15,2,82,84,185,185,,,284,
Architecture,ARCH,,,,,,,,11,11,11,11,,,22,
,COMG,,,,,,,,8,8,,,,,8,
,COSC,,,,,,,,,,,,,,,
,COSL,,,,1,,1,,,,,,,,1,
,ENDL,1,,,,,1,,,,,,,,1,
,ENDS,,,,,,,,,,,,,,,
,LAND,,,,,,,,9,9,,,,,9,
,LANL,,,,,,,,,,,,,,,
,LDEV,,,,,,,,8,8,,,,,8,
,NUTR,,,,,,,,,,1,1,,,1,
,URPL,,,,,,,,3,3,,,,,3,
,URSC,,,,,,,,,,8,8,,,8,
,USAR,,,,,,,,,,,,,,,
,VISL,,,,,,,,,,,,,,,
,VIST,,,,1,,1,,9,9,,,,,10,
,Subtotal,1,,,2,,3,,48,48,20,20,,,71,
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,,
