College Architecture,,,,,,,,,,,,
Texas A&M University Student Enrollment Summary Student Head Count by Level by College College Station Compus,,,,,,,,,,,,
Summer 2011,,,,,,,,,,,,
Summer 2011,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total,427,100.0%,128,100.0%,27,100.0%,,,582,100.0%,
,Female,103,24.1%,48,37.5%,9,33.3%,,,160,27.5%,
,Male,324,75.9%,80,62.5%,18,66.7%,,,422,72.5%,
Ethnicity,White Only (NEW),323,75.6%,64,50.0%,5,18.5%,,,392,67.4%,
,Black Only + 2 or more/1 Black (NEW),10,2.3%,1,.8%,,,,,11,1.9%,
,Hispanic or Latino of any Race (NEW),72,16.9%,11,8.6%,1,3.7%,,,84,14.4%,
,Asian Only (NEW),4,.9%,2,1.6%,1,3.7%,,,7,1.2%,
,Native Hawaii Only (New),1,.2%,,,,,,,1,.2%,
,American Indian Only (NEW),2,.5%,,,,,,,2,.3%,
,International,3,.7%,48,37.5%,20,74.1%,,,71,12.2%,
,2 or More/Excluding Black (NEW),12,2.8%,2,1.6%,,,,,14,2.4%,
,Unknown or Not Reported,,,,,,,,,,,
,Total,427,100.0%,128,100.0%,27,100.0%,,,582,100.0%,
TAMU Age Categories,<18,,,,,,,,,,,
,18-21,196,45.9%,,,,,,,196,33.7%,
,22-25,210,49.2%,66,51.6%,,,,,276,47.4%,
,26-30,14,3.3%,46,35.9%,7,25.9%,,,67,11.5%,
,31-39,5,1.2%,14,10.9%,14,51.9%,,,33,5.7%,
,40+,2,.5%,2,1.6%,6,22.2%,,,10,1.7%,
Enrollment Status,1st Time in College,,,,,,,,,,,
,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,13,10.2%,,,,,13,2.2%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,10,2.3%,,,,,,,10,1.7%,
,Readmitted,4,.9%,1,.8%,,,,,5,.9%,
,Continuing,413,96.7%,114,89.1%,27,100.0%,,,554,95.2%,
Tuition Status,Resident Tuition,393,92.0%,67,52.3%,5,18.5%,,,465,79.9%,
,Non-Resident Tuition,7,1.6%,35,27.3%,3,11.1%,,,45,7.7%,
,Tuition Exemption/Waiver,27,6.3%,26,20.3%,19,70.4%,,,72,12.4%,
Residency Status,Texas Resident,410,96.0%,70,54.7%,7,25.9%,,,487,83.7%,
,"Non-TX, US Resident",14,3.3%,10,7.8%,,,,,24,4.1%,
,"Non-TX, Non-US Resident",3,.7%,48,37.5%,20,74.1%,,,71,12.2%,
SCH Categories,< 6 SCH,156,36.5%,65,50.8%,9,33.3%,,,230,39.5%,
,6-8 SCH,158,37.0%,59,46.1%,18,66.7%,,,235,40.4%,
,9-11 SCH,70,16.4%,4,3.1%,,,,,74,12.7%,
,12-14 SCH,43,10.1%,,,,,,,43,7.4%,
,15-17 SCH,,,,,,,,,,,
,>17 SCH,,,,,,,,,,,
Ft/Pt:  TAMU Status,Less Than Half Time,115,26.9%,26,20.3%,4,14.8%,,,145,24.9%,
,Half-Time,186,43.6%,39,30.5%,5,18.5%,,,230,39.5%,
,Full-Time,126,29.5%,63,49.2%,18,66.7%,,,207,35.6%,
Top 10% Texas High School,No,304,71.2%,118,92.2%,27,100.0%,,,449,77.1%,
,Yes,123,28.8%,10,7.8%,,,,,133,22.9%,
First Generation,No,296,69.3%,85,66.4%,18,66.7%,,,399,68.6%,
,Unknown,15,3.5%,23,18.0%,5,18.5%,,,43,7.4%,
,Yes,116,27.2%,20,15.6%,4,14.8%,,,140,24.1%,
"Prepared by OISP, 8/12/2011",,,,,,,,,,,,
