Summer 2004,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"2,812",2.3%,115,-2.5%,205,12.0%,,,"3,132",2.7%,
Gender,Female,"1,641",-1.3%,71,-1.4%,89,14.1%,,,"1,801",-0.6%,
,Male,"1,171",7.8%,44,-4.3%,116,10.5%,,,"1,331",7.6%,
Ethnicity,White,"2,286",1.4%,77,-2.5%,130,5.7%,,,"2,493",1.5%,
,Black,87,33.8%,4,33.3%,3,200.0%,,,94,36.2%,
,Hispanic,316,6.0%,11,-8.3%,15,25.0%,,,342,6.2%,
,Asian,60,1.7%,2,-50.0%,4,100.0%,,,66,1.5%,
,American Indian,16,6.7%,1,0.0%,1,0.0%,,,18,5.9%,
,International,19,18.8%,17,13.3%,47,17.5%,,,83,16.9%,
,Unknown/Other,28,-31.7%,3,-25.0%,5,25.0%,,,36,-26.5%,
TAMU Age,<18,1,100.0%,,,,,,,1,100.0%,
Categories,18-21,"1,207",-4.6%,0,-100.0%,,,,,"1,207",-4.7%,
,22-25,"1,468",7.9%,53,3.9%,11,-15.4%,,,"1,532",7.5%,
,26-30,95,6.7%,35,-16.7%,92,26.0%,,,222,8.8%,
,31-39,22,10.0%,16,6.7%,77,5.5%,,,115,6.5%,
,40+,19,46.2%,11,37.5%,25,4.2%,,,55,22.2%,
Enrollment,1st Time in College,5,-50.0%,,,,,,,5,-50.0%,
Status,1st Time PB,0,-100.0%,3,200.0%,,,,,3,0.0%,
,1st Time Graduate,,,0,-100.0%,2,100.0%,,,2,-50.0%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,33,-19.5%,,,,,,,33,-19.5%,
,Readmitted,40,11.1%,1,100.0%,1,100.0%,,,42,16.7%,
,Continuing,"2,734",2.8%,111,-2.6%,202,11.0%,,,"3,047",3.1%,
Tuition,Resident Tuition,"2,707",1.9%,64,-4.5%,86,14.7%,,,"2,857",2.1%,
Status,Non-Resident Tuition,60,15.4%,20,0.0%,18,-30.8%,,,98,0.0%,
,Tuition Exemption/Waiver,45,15.4%,31,0.0%,101,23.2%,,,177,16.4%,
Residency,Texas Resident,"2,710",1.8%,65,-4.4%,86,14.7%,,,"2,861",2.0%,
Status,"Non-TX, US Resident",81,17.4%,33,-5.7%,71,4.4%,,,185,7.6%,
,"Non-TX, Non-US Resident",21,31.3%,17,13.3%,48,20.0%,,,86,21.1%,
SCH,< 6 SCH,640,-4.8%,52,-17.5%,112,36.6%,,,804,-1.6%,
Categories,6-8 SCH,"1,098",4.2%,50,2.0%,88,-11.1%,,,"1,236",2.8%,
,9-11 SCH,531,-3.1%,8,100.0%,2,0.0%,,,541,-2.3%,
,12-14 SCH,502,12.8%,3,50.0%,2,100.0%,,,507,13.4%,
,15-17 SCH,36,63.6%,2,100.0%,1,100.0%,,,39,77.3%,
,>17 SCH,5,-28.6%,,,,,,,5,-28.6%,
Ft/Pt:,Less Than Half Time,72,22.0%,15,-25.0%,35,-16.7%,,,122,0.8%,
"TAMU
Status","Half-Time
Three-Quarter Time","764
3","-9.7%
50.0%",8,-52.9%,13,-7.1%,,,"785
3","-10.5%
50.0%",
,Full-Time,"1,973",7.2%,92,13.6%,157,23.6%,,,"2,222",8.4%,
"Prepared by OISP, 18 Aug 04",,,,,,,,,,,,
