Office of Institutional Studies and Planning,,,,,
for the Corps of Cadets,,,,,
Summer 2004,,,,,
Official Combined Summer Data – Not Certified,,,,,
Summer 2004,,Not in Corps,In Corps,Grand Total,
Head Count,Total,"18,385",702,"19,087",
Gender,Female,"9,202",50,"9,252",
,Male,"9,183",652,"9,835",
Ethnicity,White,"13,157",571,"13,728",
,Black,561,15,576,
,Hispanic,"1,571",86,"1,657",
,Asian,565,14,579,
,American Indian,75,4,79,
,International,"2,278",5,"2,283",
,Unknown/Other,178,7,185,
TAMU Age Categories,<18,7,,7,
,18-21,"6,260",296,"6,556",
,22-25,"7,836",386,"8,222",
,26-30,"2,218",18,"2,236",
,31-39,"1,391",2,"1,393",
,40+,673,,673,
College,Agriculture,"3,231",142,"3,373",
,Architecture,789,53,842,
,Business Admin,"2,119",57,"2,176",
,Education,"2,720",37,"2,757",
,Engineering,"3,446",143,"3,589",
,G. Bush School of Govt,85,,85,
,Geosciences,340,21,361,
,Liberal Arts,"2,961",171,"3,132",
,Science,"1,204",15,"1,219",
,Veterinary Medicine,830,13,843,
,General Studies,620,50,670,
,Other - Special Populations,40,,40,
Enrollment Status,1st Time in College,219,3,222,
,1st Time PB,107,,107,
,1st Time Graduate,325,4,329,
,1st Time Professional,13,1,14,
,1st Time Transfer,185,1,186,
,Readmitted,141,4,145,
,Continuing,"17,395",689,"18,084",
Tuition Status,Resident Tuition,"14,909",622,"15,531",
,Non-Resident Tuition,"1,058",4,"1,062",
,Tuition Exemption/Waiver,"2,418",76,"2,494",
Residency Status,Texas Resident,"14,944",629,"15,573",
,"Non-TX, US Resident","1,142",68,"1,210",
,"Non-TX, Non-US Resident","2,299",5,"2,304",
SCH Categories,< 6 SCH,"5,633",150,"5,783",
,6-8 SCH,"7,951",298,"8,249",
,9-11 SCH,"2,879",133,"3,012",
,12-14 SCH,"1,750",109,"1,859",
,15-17 SCH,161,11,172,
,>17 SCH,11,1,12,
Ft/Pt:  TAMU Status,Less Than Half Time,"1,474",28,"1,502",
,Half-Time,"4,290",161,"4,451",
,Three-Quarter Time,31,,31,
,Full-Time,"12,590",513,"13,103",
"Prepared by OISP, 18 Aug 04",,,,,
