Top 10,,,,,,,,,
Summer 2004  Feeder Patterns Texas A&M University Campus,,,,,,,,,
Country,,,Students  % Total,,,,,,
United States,,,16780,,,,87.9%,,
India,,,522,,,,2.7%,,
"China, People's Rep of",,,486,,,,2.5%,,
"Korea, Republic of",,,350,,,,1.8%,,
Mexico,,,76,,,,0.4%,,
Taiwan,,,70,,,,0.4%,,
Turkey,,,57,,,,0.3%,,
Indonesia,,,54,,,,0.3%,,
Colombia,,,45,,,,0.2%,,
Venezuela,,,34,,,,0.2%,,
State,Students  % Total,,,,,,,,
Texas,15573,,,81.6%,,,,,
Louisiana,122,,,0.6%,,,,,
California,116,,,0.6%,,,,,
Illinois,61,,,0.3%,,,,,
Florida,46,,,0.2%,,,,,
Missouri,44,,,0.2%,,,,,
New Mexico,44,,,0.2%,,,,,
Arkansas,43,,,0.2%,,,,,
Oklahoma,42,,,0.2%,,,,,
Pennsylvania,42,,,0.2%,,,,,
Texas County   Students  % Total,,,,,,,,,
Harris,,2684,,,14.1%,,,,
Brazos,,1532,,,8.0%,,,,
Dallas,,844,,,4.4%,,,,
Bexar,,832,,,4.4%,,,,
Tarrant,,783,,,4.1%,,,,
Fort Bend,,509,,,2.7%,,,,
Montgomery,,452,,,2.4%,,,,
Travis,,388,,,2.0%,,,,
Collin,,346,,,1.8%,,,,
Denton,,289,,,1.5%,,,,
