Summer 2004,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,572,-0.3%,54,17.4%,67,3.1%,150,10.3%,843,2.7%,
Gender,Female,382,2.7%,43,38.7%,33,3.1%,110,23.6%,568,8.4%,
,Male,190,-5.9%,11,-26.7%,34,3.0%,40,-14.9%,275,-7.4%,
Ethnicity,White,454,-2.4%,36,9.1%,32,0.0%,136,14.3%,658,1.4%,
,Black,13,44.4%,0,-100.0%,1,0.0%,,,14,27.3%,
,Hispanic,61,15.1%,3,200.0%,0,-100.0%,9,-10.0%,73,12.3%,
,Asian,30,-9.1%,0,-100.0%,2,-33.3%,4,100.0%,36,-10.0%,
,American Indian,4,0.0%,,,,,1,0.0%,5,0.0%,
,International,2,100.0%,15,87.5%,30,15.4%,,,47,34.3%,
,Unknown/Other,8,-11.1%,0,-100.0%,2,0.0%,0,-100.0%,10,-37.5%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,365,-0.3%,,,,,1,-66.7%,366,-0.8%,
,22-25,199,2.1%,27,12.5%,6,200.0%,69,30.2%,301,9.9%,
,26-30,6,-45.5%,16,45.5%,28,3.7%,57,-9.5%,107,-4.5%,
,31-39,1,-50.0%,9,-10.0%,28,-6.7%,21,61.5%,59,7.3%,
,40+,1,100.0%,2,100.0%,5,-16.7%,2,-50.0%,10,-9.1%,
Enrollment,1st Time in College,5,-50.0%,,,,,,,5,-50.0%,
Status,1st Time PB,,,0,-100.0%,,,,,0,-100.0%,
,1st Time Graduate,,,4,33.3%,,,,,4,33.3%,
,1st Time Professional,,,,,,,14,27.3%,14,27.3%,
,1st Time Transfer,2,0.0%,,,,,,,2,0.0%,
,Readmitted,1,-80.0%,,,,,,,1,-80.0%,
,Continuing,564,1.3%,50,22.0%,67,3.1%,136,8.8%,817,3.7%,
Tuition,Resident Tuition,556,0.4%,33,0.0%,26,-3.7%,148,12.1%,763,2.3%,
Status,Non-Resident Tuition,10,-23.1%,1,-50.0%,3,-40.0%,1,-50.0%,15,-31.8%,
,Tuition Exemption/Waiver,6,-14.3%,20,81.8%,38,15.2%,1,-50.0%,65,22.6%,
Residency,Texas Resident,556,0.4%,34,-2.9%,27,0.0%,148,12.1%,765,2.3%,
Status,"Non-TX, US Resident",14,-26.3%,5,66.7%,10,-9.1%,2,-50.0%,31,-16.2%,
,"Non-TX, Non-US Resident",2,100.0%,15,87.5%,30,11.1%,,,47,30.6%,
SCH,< 6 SCH,243,-10.3%,19,0.0%,12,9.1%,19,5.6%,293,-8.2%,
Categories,6-8 SCH,238,12.8%,32,23.1%,55,7.8%,131,11.0%,456,12.3%,
,9-11 SCH,67,-4.3%,2,100.0%,0,-100.0%,,,69,-5.5%,
,12-14 SCH,24,9.1%,1,100.0%,0,-100.0%,,,25,8.7%,
,15-17 SCH,,,,,,,,,,,
,>17 SCH,,,,,,,,,,,
Ft/Pt:,Less Than Half Time,82,15.5%,8,33.3%,6,-40.0%,4,100.0%,100,14.9%,
"TAMU
Status","Half-Time
Three-Quarter Time","203
1","-12.1%
-50.0%",6,-33.3%,4,300.0%,16,-11.1%,"229
1","-11.6%
-50.0%",
,Full-Time,286,5.9%,40,29.0%,57,5.6%,130,10.2%,513,8.5%,
"Prepared by OISP, 18 Aug 04",,,,,,,,,,,,
