Summer 2004,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"1,785",18.4%,447,4.7%,525,5.2%,,,"2,757",13.3%,
Gender,Female,"1,391",18.2%,333,0.9%,351,5.7%,,,"2,075",12.8%,
,Male,394,19.4%,114,17.5%,174,4.2%,,,682,14.8%,
Ethnicity,White,"1,550",19.7%,321,-1.5%,317,-2.2%,,,"2,188",12.5%,
,Black,45,0.0%,32,6.7%,66,20.0%,,,143,10.0%,
,Hispanic,145,20.8%,64,52.4%,76,26.7%,,,285,28.4%,
,Asian,20,-16.7%,5,-28.6%,5,25.0%,,,30,-14.3%,
,American Indian,12,9.1%,0,-100.0%,1,-50.0%,,,13,-18.8%,
,International,5,0.0%,22,83.3%,52,8.3%,,,79,21.5%,
,Unknown/Other,8,14.3%,3,-57.1%,8,33.3%,,,19,-5.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,788,27.7%,,,,,,,788,27.7%,
,22-25,917,12.4%,174,15.2%,18,20.0%,,,"1,109",12.9%,
,26-30,48,0.0%,107,2.9%,90,8.4%,,,245,4.3%,
,31-39,20,0.0%,88,11.4%,170,8.3%,,,278,8.6%,
,40+,12,100.0%,78,-16.1%,247,1.2%,,,337,-1.7%,
Enrollment,1st Time in College,6,50.0%,,,,,,,6,50.0%,
Status,1st Time PB,1,100.0%,24,-56.4%,,,,,25,-54.5%,
,1st Time Graduate,,,78,41.8%,8,60.0%,,,86,43.3%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,41,-6.8%,,,,,,,41,-6.8%,
,Readmitted,13,30.0%,2,-50.0%,1,-50.0%,,,16,0.0%,
,Continuing,"1,724",19.0%,343,9.6%,516,4.9%,,,"2,583",14.6%,
Tuition,Resident Tuition,"1,739",18.8%,396,0.5%,432,4.9%,,,"2,567",13.1%,
Status,Non-Resident Tuition,27,0.0%,19,35.7%,21,-16.0%,,,67,1.5%,
,Tuition Exemption/Waiver,19,18.8%,32,68.4%,72,16.1%,,,123,26.8%,
Residency,Texas Resident,"1,740",18.9%,398,0.8%,434,5.1%,,,"2,572",13.3%,
Status,"Non-TX, US Resident",40,2.6%,27,35.0%,39,2.6%,,,106,9.3%,
,"Non-TX, Non-US Resident",5,0.0%,22,83.3%,52,8.3%,,,79,21.5%,
SCH,< 6 SCH,486,15.4%,96,3.2%,242,4.8%,,,824,10.6%,
Categories,6-8 SCH,625,23.5%,166,-17.0%,84,-42.5%,,,875,2.7%,
,9-11 SCH,325,12.1%,123,35.2%,157,60.2%,,,605,26.3%,
,12-14 SCH,308,13.2%,60,53.8%,38,72.7%,,,406,21.9%,
,15-17 SCH,39,116.7%,2,-33.3%,4,100.0%,,,45,95.7%,
,>17 SCH,2,100.0%,0,-100.0%,,,,,2,100.0%,
Ft/Pt:,Less Than Half Time,42,31.3%,2,0.0%,156,15.6%,,,200,18.3%,
"TAMU
Status","Half-Time
Three-Quarter Time","517
3","17.0%
-25.0%",11,-8.3%,30,-25.0%,,,"558
3","13.0%
-25.0%",
,Full-Time,"1,223",18.9%,434,5.1%,339,4.6%,,,"1,996",13.0%,
"Prepared by OISP, 18 Aug 04",,,,,,,,,,,,
