"Summer 2004
Head Count       Total
Gender               Female Male
Ethnicity            White Black Hispanic Asian
American Indian International Unknown/Other
TAMU Age       <18
Categories         18-21
22-25
26-30
31-39
40+
College              Agriculture Architecture Business Admin Education Engineering
G. Bush School of Govt Geosciences
Liberal Arts Science
Veterinary Medicine General Studies
Other - Special Populations
Student              Lower
Level                 Upper Masters PhD Professional
Tuition               Resident Tuition
Status                 Non-Resident Tuition Tuition Exemption/Waiver
Residency          Texas Resident
Status                 Non-TX, US Resident
Non-TX, Non-US Resident
SCH                   < 6 SCH
Categories         6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:                  Less Than Half Time
TAMU               Half-Time
Full-Time",Undergraduate,,,,,Graduate,,,,Professional,,
,"1st Time in College
222
106
116
135
24
53
6
1
3
3
219
3
10
6
8
5
6
5
179
222
209
11
2
210
9
3
32
25
153
12
18
204","1st Time PB
6
3
3
6
2
2
1
1
3
1
1
1
6
5
1
5
1
4
1
1
1
4
1","1st Time Transfer
186
87
99
158
6
14
2
1
5
124
45
10
5
2
59
4
19
41
17
4
33
6
2
1
86
100
179
7
179
2
5
84
63
22
16
1
6
88
92","Readmitted
128
53
75
106
6
13
3
31
67
20
7
3
37
2
14
13
14
40
6
1
1
22
106
123
4
1
126
2
37
38
32
20
1
7
36
85","Continuing
13,157
6,705
6,452
10,637
387
1,255
457
67
241
113
4
6,174
6,433
375
111
60
2,372
552
1,717
1,724
2,204
183
2,734
618
564
489
1,828
11,329
12,454
441
262
12,474
435
248
3,913
5,088
2,348
1,640
157
11
784
3,911
31
8,431",1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Professional,Continuing,
,,,,,,101,329,17,"4,791",14,136,
,,,,,,65,181,8,"1,934",7,103,
,,,,,,36,148,9,"2,857",7,33,
,,,,,,74,245,9,"2,222",12,124,
,,,,,,9,8,,136,,,
,,,,,,8,16,5,284,2,7,
,,,,,,4,6,1,96,,4,
,,,,,,,,,9,,1,
,,,,,,4,52,2,"1,976",,,
,,,,,,2,2,,68,,,
,,,,,,1,6,,,1,,
,,,,,,34,207,1,"1,364",10,59,
,,,,,,14,53,5,"1,700",2,55,
,,,,,,16,43,7,"1,182",1,20,
,,,,,,36,20,4,545,,2,
,,,,,,5,29,6,859,,,
,,,,,,2,15,2,265,,,
,,,,,,1,110,,304,,,
,,,,,,24,86,3,859,,,
,,,,,,3,58,3,"1,281",,,
,,,,,,16,1,,68,,,
,,,,,,2,1,,171,,,
,,,,,,3,2,2,313,,,
,,,,,,37,19,1,526,,,
,,,,,,,4,,117,14,136,
,,,,,,8,4,,28,,,
,,,,,,101,292,13,"2,469",,,
,,,,,,,37,4,"2,322",,,
,,,,,,,,,,14,136,
,,,,,,90,253,11,"2,059",14,134,
,,,,,,7,23,4,563,,1,
,,,,,,4,53,2,"2,169",,1,
,,,,,,90,253,11,"2,077",14,134,
,,,,,,7,24,4,724,,2,
,,,,,,4,52,2,"1,990",,,
,,,,,,83,52,12,"1,547",8,11,
,,,,,,6,151,4,"2,742",6,125,
,,,,,,6,80,1,370,,,
,,,,,,6,44,,120,,,
,,,,,,,2,,11,,,
,,,,,,,,,1,,,
,,,,,,,2,6,692,,4,
,,,,,,17,22,1,338,8,8,
,,,,,,84,305,10,"3,761",6,124,
"Prepared by OISP, 18 Aug 04",,,,,,,,,,,,
