Summer 2004,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Architecture,ARCH,53,3.9%,1,0.0%,6,0.0%,4,33.3%,2,100.0%,46,-16.4%,4,100.0%,114,-1.7%,
,COMG,21,75.0%,2,100.0%,1,100.0%,1,100.0%,,,35,94.4%,1,0.0%,61,96.8%,
,COSC,216,22.0%,2,100.0%,17,-19.0%,3,200.0%,,,1,100.0%,1,0.0%,242,21.0%,
,COSL,75,-24.2%,1,-66.7%,9,-25.0%,2,0.0%,0,-100.0%,,,,,87,-26.3%,
,ENDL,39,-42.6%,3,0.0%,6,-33.3%,4,100.0%,1,0.0%,3,100.0%,,,56,-32.5%,
,ENDS,119,5.3%,3,200.0%,21,133.3%,6,50.0%,0,-100.0%,,,1,-75.0%,150,13.6%,
,LAND,15,36.4%,,,0,-100.0%,,,,,11,-15.4%,1,0.0%,27,0.0%,
,LANL,13,8.3%,1,100.0%,1,-50.0%,1,100.0%,,,,,0,-100.0%,16,6.7%,
,LDEV,9,50.0%,0,-100.0%,1,100.0%,,,,,9,125.0%,0,-100.0%,19,58.3%,
,URPL,9,125.0%,,,1,100.0%,,,,,7,-12.5%,1,100.0%,18,50.0%,
,URSC,5,-44.4%,,,,,,,,,14,40.0%,1,100.0%,20,5.3%,
,VIZA,17,0.0%,,,5,25.0%,4,100.0%,,,5,-44.4%,1,0.0%,32,-3.0%,
,Subtotal,591,2.1%,13,44.4%,68,4.6%,25,78.6%,3,-25.0%,131,12.0%,11,10.0%,842,5.5%,
Business,ACCT,488,3.0%,9,-18.2%,27,8.0%,23,15.0%,0,-100.0%,15,-25.0%,1,-66.7%,563,1.6%,
Admin,AGBU,4,300.0%,,,1,100.0%,,,,,,,,,5,400.0%,
,BUAD,224,-16.7%,7,-30.0%,13,-27.8%,12,33.3%,0,-100.0%,12,-47.8%,1,-50.0%,269,-19.2%,
,BUAG,2,100.0%,,,,,,,,,,,,,2,100.0%,
,FINC,387,18.7%,6,20.0%,15,-28.6%,15,25.0%,2,-33.3%,14,-36.4%,4,0.0%,443,12.7%,
,INFO,84,-28.2%,4,100.0%,6,-45.5%,6,-33.3%,3,200.0%,9,-30.8%,1,-50.0%,113,-27.1%,
,MGMT,215,13.8%,7,133.3%,22,0.0%,12,71.4%,1,0.0%,12,-29.4%,1,-80.0%,270,10.7%,
,MISY,28,7.7%,1,100.0%,1,-50.0%,1,100.0%,,,38,123.5%,1,0.0%,70,52.2%,
,MKTG,345,-8.7%,7,16.7%,20,-35.5%,10,-9.1%,0,-100.0%,16,45.5%,4,-20.0%,402,-9.9%,
,MLER,34,3.0%,1,100.0%,3,100.0%,0,-100.0%,,,1,100.0%,,,39,14.7%,
,Subtotal,"1,811",-0.2%,42,13.5%,108,-16.9%,79,14.5%,6,-50.0%,117,-4.9%,13,-40.9%,"2,176",-1.4%,
Education,CPSY,28,-3.4%,4,33.3%,3,200.0%,1,100.0%,,,2,100.0%,,,38,15.2%,
,EDAD,160,-7.5%,29,3.6%,42,68.0%,0,-100.0%,1,-50.0%,6,20.0%,5,66.7%,243,2.5%,
,EDCI,190,18.0%,36,20.0%,32,68.4%,4,0.0%,0,-100.0%,17,70.0%,1,-66.7%,280,22.3%,
,EDHL,59,-9.2%,6,100.0%,6,-14.3%,2,100.0%,0,-100.0%,,,,,73,-5.2%,
,EDIS,215,19.4%,9,12.5%,24,9.1%,2,-60.0%,2,0.0%,0,-100.0%,0,-100.0%,252,14.0%,
,EDIT,0,-100.0%,,,,,,,,,,,,,0,-100.0%,
,EDKI,261,1.6%,12,71.4%,25,19.0%,7,40.0%,1,-50.0%,1,100.0%,0,-100.0%,307,4.4%,
,EDTC,18,5.9%,1,0.0%,1,0.0%,,,,,2,0.0%,,,22,4.8%,
,EHRD,80,-4.8%,12,9.1%,20,5.3%,2,-50.0%,,,14,-12.5%,2,0.0%,130,-4.4%,
,EPSY,78,-17.9%,5,0.0%,28,7.7%,1,100.0%,,,18,20.0%,1,-66.7%,131,-9.0%,
,HEED,19,35.7%,4,100.0%,,,,,,,2,100.0%,1,0.0%,26,52.9%,
,HLTH,110,34.1%,4,-50.0%,11,-15.4%,0,-100.0%,1,100.0%,,,1,100.0%,127,18.7%,
,INST,526,12.4%,8,33.3%,40,33.3%,2,-33.3%,4,-20.0%,2,100.0%,2,0.0%,584,13.4%,
,ISNC,104,173.7%,5,25.0%,18,80.0%,5,66.7%,1,100.0%,2,100.0%,1,-50.0%,136,138.6%,
,KINE,312,28.4%,3,-70.0%,25,38.9%,3,0.0%,3,200.0%,10,-16.7%,4,100.0%,360,25.4%,
,PHED,4,-33.3%,,,1,100.0%,0,-100.0%,0,-100.0%,1,100.0%,0,-100.0%,6,-33.3%,
,SPSY,19,-17.4%,5,25.0%,9,28.6%,1,0.0%,,,2,100.0%,1,100.0%,37,2.8%,
,TECR,5,-44.4%,,,0,-100.0%,,,,,,,,,5,-58.3%,
,Subtotal,"2,188",12.5%,143,10.0%,285,28.4%,30,-14.3%,13,-18.8%,79,21.5%,19,-5.0%,"2,757",13.3%,
"Prepared by OISP, 18 Aug 04",,,,,,,,,,,,,,,,,,
