Students by Country by Level,,,,,,
Country,Undergraduate,Masters,PhD,Professional,Total Students,
Iceland,,2,,,2,
India,37,336,149,,522,
Indonesia,29,15,10,,54,
Iran,3,8,14,,25,
Iraq,,,1,,1,
Ireland,,1,,,1,
Israel,1,,1,,2,
Italy,1,2,3,,6,
Jamaica,,2,3,,5,
Japan,3,8,8,,19,
Jordan,,3,8,,11,
Kazakhstan,1,4,,,5,
Kenya,,1,2,,3,
"Korea, Republic of",15,78,257,,350,
Kuwait,,2,,,2,
Lebanon,2,1,6,,9,
Lithuania,1,,,,1,
Macao,1,,,,1,
Madagascar,,,1,,1,
Malawi (Central Africa),,,2,,2,
Malaysia,5,3,4,,12,
Mali,,1,3,,4,
Mauritius,,,1,,1,
Mexico,11,21,44,,76,
Moldova,,,1,,1,
Morocco,,2,2,,4,
Mozambique,,1,,,1,
Nepal,1,,,,1,
Netherlands,,1,1,,2,
Nicaragua,3,,,,3,
Niger,,,1,,1,
Nigeria,13,9,6,,28,
Norway,,,2,,2,
Pakistan,12,2,6,,20,
Panama,4,,,,4,
Paraguay,,,1,,1,
Peru,,11,6,,17,
Philippines,,2,7,,9,
Poland,,1,1,,2,
