Students by Country by Level,,,,,,
Country,Undergraduate,Masters,PhD,Professional,Total Students,
Albania,,1,,,1,
Algeria,,,1,,1,
Angola,1,1,,,2,
Antigua and Barbuda,,1,,,1,
Argentina,1,6,3,,10,
Armenia,,3,,,3,
Australia,1,,1,,2,
Austria,,,2,,2,
Azerbaijan,,4,,,4,
"Bahamas, The",1,1,,,2,
Bangladesh,1,4,8,,13,
Belarus,,2,5,,7,
Belize (British Honduras),,1,,,1,
Bolivia,4,1,3,,8,
Brazil,3,3,5,,11,
Bulgaria,,,7,,7,
Canada,3,9,12,,24,
Chile,,2,4,,6,
"China, People's Rep of",8,157,321,,486,
Colombia,4,30,11,,45,
Costa Rica,2,3,1,,6,
Cote d'Ivoire (Ivory Coast),,,1,,1,
Croatia,2,,,,2,
Dominica,,,1,,1,
Dominican Republic,1,1,1,,3,
Ecuador,8,6,2,,16,
Egypt (A.R.E.),1,3,19,,23,
El Salvador,1,1,,,2,
Eritrea,,,2,,2,
Ethiopia,1,,,,1,
France,5,7,5,,17,
Gaza Strip,,1,,,1,
Georgia (C.I.S.),,,3,,3,
Germany,2,7,3,,12,
Ghana,1,3,3,,7,
Greece,,,10,,10,
Guatemala,3,1,1,,5,
Honduras,8,1,1,,10,
Hong Kong,7,1,8,,16,
