Summer 2004,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"1,761",-2.4%,348,5.8%,67,-8.2%,,,"2,176",-1.4%,
Gender,Female,982,-2.3%,152,-4.4%,29,-3.3%,,,"1,163",-2.6%,
,Male,779,-2.6%,196,15.3%,38,-11.6%,,,"1,013",0.0%,
Ethnicity,White,"1,528",-1.0%,255,7.6%,28,-15.2%,,,"1,811",-0.2%,
,Black,36,9.1%,5,150.0%,1,-50.0%,,,42,13.5%,
,Hispanic,93,-15.5%,13,-27.8%,2,0.0%,,,108,-16.9%,
,Asian,70,14.8%,9,12.5%,,,,,79,14.5%,
,American Indian,5,-54.5%,1,100.0%,0,-100.0%,,,6,-50.0%,
,International,19,-36.7%,63,6.8%,35,2.9%,,,117,-4.9%,
,Unknown/Other,10,-37.5%,2,-60.0%,1,0.0%,,,13,-40.9%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,"1,029",-1.4%,5,25.0%,,,,,"1,034",-1.3%,
,22-25,704,-2.8%,257,8.4%,4,-20.0%,,,965,-0.1%,
,26-30,18,-14.3%,59,15.7%,23,-8.0%,,,100,3.1%,
,31-39,6,-25.0%,20,-33.3%,26,-13.3%,,,52,-23.5%,
,40+,4,-50.0%,7,0.0%,14,7.7%,,,25,-10.7%,
Enrollment,1st Time in College,10,-16.7%,,,,,,,10,-16.7%,
Status,1st Time PB,1,100.0%,1,-50.0%,,,,,2,0.0%,
,1st Time Graduate,,,109,-4.4%,1,0.0%,,,110,-4.3%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,19,-13.6%,,,,,,,19,-13.6%,
,Readmitted,14,16.7%,,,,,,,14,16.7%,
,Continuing,"1,717",-2.4%,238,11.7%,66,-8.3%,,,"2,021",-1.1%,
Tuition,Resident Tuition,"1,709",-1.6%,268,9.4%,16,-27.3%,,,"1,993",-0.5%,
Status,Non-Resident Tuition,25,-44.4%,16,-30.4%,6,0.0%,,,47,-36.5%,
,Tuition Exemption/Waiver,27,12.5%,64,4.9%,45,0.0%,,,136,4.6%,
Residency,Texas Resident,"1,710",-1.6%,268,9.8%,18,-25.0%,,,"1,996",-0.4%,
Status,"Non-TX, US Resident",32,-13.5%,17,-34.6%,14,-6.7%,,,63,-19.2%,
,"Non-TX, Non-US Resident",19,-38.7%,63,6.8%,35,2.9%,,,117,-5.6%,
SCH,< 6 SCH,470,2.2%,137,-5.5%,17,-10.5%,,,624,0.0%,
Categories,6-8 SCH,653,-6.6%,122,27.1%,50,-3.8%,,,825,-2.6%,
,9-11 SCH,341,-11.2%,47,-4.1%,0,-100.0%,,,388,-10.8%,
,12-14 SCH,275,11.3%,40,11.1%,,,,,315,11.3%,
,15-17 SCH,21,90.9%,2,-33.3%,,,,,23,64.3%,
,>17 SCH,1,-75.0%,,,,,,,1,-75.0%,
Ft/Pt:,Less Than Half Time,60,-11.8%,29,7.4%,10,-23.1%,,,99,-8.3%,
"TAMU
Status","Half-Time
Three-Quarter Time","509
1","-6.4%
0.0%",67,26.4%,1,0.0%,,,"577
1","-3.5%
0.0%",
,Full-Time,"1,191",-0.1%,252,1.2%,56,-5.1%,,,"1,499",-0.1%,
"Prepared by OISP, 18 Aug 04",,,,,,,,,,,,
