Summer 2004,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Agriculture,ADEV,447,-16.8%,2,-80.0%,33,3.1%,,,449,-17.9%,
,AGBL,30,66.7%,,,,,,,30,66.7%,
,AGBU,64,-21.0%,23,15.0%,,,,,87,-13.9%,
,AGEC,168,-2.9%,24,-22.6%,,,,,225,-4.7%,
,AGED,,,41,-2.4%,40,37.9%,,,81,14.1%,
,AGEN,32,18.5%,2,100.0%,,,,,34,25.9%,
,AGJR,42,-2.3%,,,,,,,42,-2.3%,
,AGLS,173,-10.8%,,,,,,,173,-10.8%,
,AGRO,39,-7.1%,11,-35.3%,12,9.1%,,,62,-11.4%,
,AGSC,85,1.2%,,,,,,,85,1.2%,
,AGSM,81,-3.6%,,,,,,,81,-3.6%,
,ANBR,,,4,100.0%,1,0.0%,,,5,400.0%,
,ANSC,297,12.1%,39,44.4%,13,8.3%,,,349,14.8%,
,BAEN,,,27,-6.9%,13,30.0%,,,40,2.6%,
,BESC,83,-6.7%,,,,,,,83,-6.7%,
,BICH,71,-11.3%,28,-3.4%,68,-1.4%,,,167,-6.2%,
,BSEN,16,33.3%,,,,,,,16,33.3%,
,DASC,4,-20.0%,,,,,,,4,-20.0%,
,ENTO,26,13.0%,33,26.9%,17,-22.7%,,,76,7.0%,
,FLOR,4,100.0%,2,100.0%,,,,,6,100.0%,
,FORS,11,-47.6%,7,0.0%,3,-50.0%,,,21,-38.2%,
,FSTC,24,0.0%,23,-14.8%,17,-10.5%,,,64,-8.6%,
,GENE,60,-4.8%,17,112.5%,20,-9.1%,,,97,4.3%,
,HORT,52,-7.1%,13,-18.8%,16,6.7%,,,81,-6.9%,
,MEPS,,,8,0.0%,17,21.4%,,,25,13.6%,
,NRDV,,,9,28.6%,,,,,9,28.6%,
,NUSC,193,27.0%,,,,,,,193,27.0%,
,NUTR,,,19,-17.4%,13,-7.1%,,,32,-13.5%,
,PLBR,,,10,0.0%,14,-12.5%,,,24,-7.7%,
,PLPA,,,6,0.0%,16,-15.8%,,,22,-12.0%,
,PLSC,,,1,100.0%,,,,,1,100.0%,
,POSC,101,60.3%,11,266.7%,11,0.0%,,,123,59.7%,
,PPHY,,,,,1,0.0%,,,1,0.0%,
,PPRO,,,0,-100.0%,,,,,0,-100.0%,
,PREP,,,15,7.1%,9,-18.2%,,,24,-4.0%,
,PSSC,2,100.0%,,,,,,,2,100.0%,
,RENR,23,53.3%,,,,,,,23,53.3%,
,RLEM,60,1.7%,20,-13.0%,16,-23.8%,,,96,-6.8%,
,RPTS,135,-11.8%,6,50.0%,13,-7.1%,,,154,-9.9%,
,RRDV,,,,,0,-100.0%,,,0,-100.0%,
,SOSC,,,13,0.0%,7,16.7%,,,20,5.3%,
,TOXI,,,1,-50.0%,2,100.0%,,,3,0.0%,
,WFSC,151,1.3%,66,1.5%,39,-2.5%,,,256,0.8%,
"Prepared by OISP, 18 Aug 04",,,,,,,,,,,,
