Office of Institutional Studies and Planning,,,,,,,,,
Undergraduate Students,,,,,,,,,
Summer 2004,,,,,,,,,
Official Combined Summer Data – Not Certified,,,,,,,,,
Summer 2004,,"U0: UG
Non-Degree","U1:
Freshmen","U2:
Sophomore","U3:
Junior",U4: Senior,U5: Undergraduate PB,Grand Total,
Head Count,Total,160,572,"1,605","4,565","6,766",31,"13,699",
Gender,Female,86,261,806,"2,454","3,338",9,"6,954",
,Male,74,311,799,"2,111","3,428",22,"6,745",
Ethnicity,White,92,388,"1,304","3,717","5,516",25,"11,042",
,Black,11,55,69,133,155,,423,
,Hispanic,29,92,144,438,631,1,"1,335",
,Asian,12,21,42,150,241,2,468,
,American Indian,1,2,6,29,31,,69,
,International,9,11,36,76,114,3,249,
,Unknown/Other,6,3,4,22,78,,113,
TAMU Age,<18,2,5,,,,,7,
Categories,18-21,89,560,"1,501","3,079","1,319",,"6,548",
,22-25,48,5,73,"1,360","5,049",12,"6,547",
,26-30,12,1,18,90,279,7,407,
,31-39,5,1,11,26,73,8,124,
,40+,4,,2,10,46,4,66,
College,Agriculture,23,61,272,826,"1,284",8,"2,474",
,Architecture,,12,55,161,330,,558,
,Business Admin,7,30,135,693,895,1,"1,761",
,Education,4,19,171,620,966,5,"1,785",
,Engineering,48,62,241,681,"1,199",13,"2,244",
,Geosciences,,3,25,62,96,1,187,
,Liberal Arts,17,37,285,"1,027","1,445",1,"2,812",
,Science,54,19,62,225,276,,636,
,Veterinary Medicine,3,20,72,200,275,2,572,
,General Studies,4,309,287,70,,,670,
Enrollment,1st Time in College,,219,3,,,,222,
Status,1st Time PB,,,,,,6,6,
,1st Time Transfer,,3,93,83,7,,186,
,Readmitted,,2,22,48,56,,128,
,Continuing,160,348,"1,487","4,434","6,703",25,"13,157",
Tuition,Resident Tuition,76,531,"1,508","4,378","6,451",26,"12,970",
Status,Non-Resident Tuition,75,26,62,117,180,4,464,
,Tuition Exemption/Waiver,9,15,35,70,135,1,265,
Residency,Texas Resident,82,532,"1,512","4,384","6,457",27,"12,994",
Status,"Non-TX, US Resident",68,29,56,104,191,1,449,
,"Non-TX, Non-US Resident",10,11,37,77,118,3,256,
SCH,< 6 SCH,136,164,536,"1,206","2,014",14,"4,070",
Categories,6-8 SCH,19,163,660,"1,844","2,515",14,"5,215",
,9-11 SCH,3,200,254,876,"1,221",1,"2,555",
,12-14 SCH,2,45,152,588,900,2,"1,689",
,15-17 SCH,,,3,50,106,,159,
,>17 SCH,,,,1,10,,11,
Ft/Pt:,Less Than Half Time,103,14,73,185,418,5,798,
TAMU,Half-Time,30,150,592,"1,350","1,920",15,"4,057",
Status,Three-Quarter Time,2,,5,16,8,,31,
,Full-Time,25,408,935,"3,014","4,420",11,"8,813",
"Prepared by OISP, 18 Aug 04",,,,,,,,,
