Summer 2004,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,,,85,37.1%,,,,,85,37.1%,
Gender,Female,,,38,18.8%,,,,,38,18.8%,
,Male,,,47,56.7%,,,,,47,56.7%,
Ethnicity,White,,,64,36.2%,,,,,64,36.2%,
,Black,,,5,100.0%,,,,,5,100.0%,
,Hispanic,,,6,-25.0%,,,,,6,-25.0%,
,Asian,,,4,300.0%,,,,,4,300.0%,
,American Indian,,,0,-100.0%,,,,,0,-100.0%,
,International,,,5,25.0%,,,,,5,25.0%,
,Unknown/Other,,,1,0.0%,,,,,1,0.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,,,1,0.0%,,,,,1,0.0%,
,22-25,,,40,-11.1%,,,,,40,-11.1%,
,26-30,,,23,187.5%,,,,,23,187.5%,
,31-39,,,15,114.3%,,,,,15,114.3%,
,40+,,,6,500.0%,,,,,6,500.0%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,16,300.0%,,,,,16,300.0%,
,1st Time Graduate,,,1,100.0%,,,,,1,100.0%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,,,,,,,,,,,
,Readmitted,,,,,,,,,,,
,Continuing,,,68,17.2%,,,,,68,17.2%,
Tuition,Resident Tuition,,,58,34.9%,,,,,58,34.9%,
Status,Non-Resident Tuition,,,5,150.0%,,,,,5,150.0%,
,Tuition Exemption/Waiver,,,22,29.4%,,,,,22,29.4%,
Residency,Texas Resident,,,58,34.9%,,,,,58,34.9%,
Status,"Non-TX, US Resident",,,22,46.7%,,,,,22,46.7%,
,"Non-TX, Non-US Resident",,,5,25.0%,,,,,5,25.0%,
SCH,< 6 SCH,,,27,575.0%,,,,,27,575.0%,
Categories,6-8 SCH,,,50,-5.7%,,,,,50,-5.7%,
,9-11 SCH,,,4,100.0%,,,,,4,100.0%,
,12-14 SCH,,,2,-33.3%,,,,,2,-33.3%,
,15-17 SCH,,,1,-50.0%,,,,,1,-50.0%,
,>17 SCH,,,1,100.0%,,,,,1,100.0%,
Ft/Pt:,Less Than Half Time,,,,,,,,,,,
"TAMU
Status","Half-Time
Three-Quarter Time",,,18,100.0%,,,,,18,100.0%,
,Full-Time,,,67,8.1%,,,,,67,8.1%,
"Prepared by OISP, 18 Aug 04",,,,,,,,,,,,
