Summer 2004,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,0,-100.0%,34,-34.6%,6,100.0%,,,40,-35.5%,
Gender,Female,0,-100.0%,19,-34.5%,,,,,19,-45.7%,
,Male,0,-100.0%,15,-34.8%,6,100.0%,,,21,-22.2%,
Ethnicity,White,,,15,-42.3%,,,,,15,-42.3%,
,Black,,,3,50.0%,,,,,3,50.0%,
,Hispanic,,,3,-25.0%,,,,,3,-25.0%,
,Asian,,,5,0.0%,,,,,5,0.0%,
,American Indian,,,,,,,,,,,
,International,0,-100.0%,8,-46.7%,6,100.0%,,,14,-44.0%,
,Unknown/Other,,,,,,,,,,,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,0,-100.0%,,,,,,,0,-100.0%,
,22-25,0,-100.0%,22,-33.3%,1,100.0%,,,23,-32.4%,
,26-30,,,9,-30.8%,2,100.0%,,,11,-15.4%,
,31-39,,,2,-50.0%,3,100.0%,,,5,25.0%,
,40+,0,-100.0%,1,-50.0%,,,,,1,-66.7%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,8,-52.9%,,,,,8,-52.9%,
,1st Time Graduate,,,4,-60.0%,,,,,4,-60.0%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,,,,,,,,,,,
,Readmitted,,,,,,,,,,,
,Continuing,0,-100.0%,22,-12.0%,6,100.0%,,,28,-20.0%,
Tuition,Resident Tuition,,,23,-25.8%,,,,,23,-25.8%,
Status,Non-Resident Tuition,0,-100.0%,2,0.0%,,,,,2,-83.3%,
,Tuition Exemption/Waiver,,,9,-52.6%,6,100.0%,,,15,-21.1%,
Residency,Texas Resident,,,23,-30.3%,,,,,23,-30.3%,
Status,"Non-TX, US Resident",,,3,-25.0%,,,,,3,-25.0%,
,"Non-TX, Non-US Resident",0,-100.0%,8,-46.7%,6,100.0%,,,14,-44.0%,
SCH,< 6 SCH,,,20,-44.4%,,,,,20,-44.4%,
Categories,6-8 SCH,0,-100.0%,8,60.0%,6,100.0%,,,14,0.0%,
,9-11 SCH,,,5,-54.5%,,,,,5,-54.5%,
,12-14 SCH,0,-100.0%,1,100.0%,,,,,1,0.0%,
,15-17 SCH,,,,,,,,,,,
,>17 SCH,,,,,,,,,,,
Ft/Pt:,Less Than Half Time,,,,,,,,,,,
"TAMU
Status","Half-Time
Three-Quarter Time",,,11,37.5%,,,,,11,37.5%,
,Full-Time,0,-100.0%,23,-47.7%,6,100.0%,,,29,-46.3%,
"Prepared by OISP, 18 Aug 04",,,,,,,,,,,,
