Texas A&M University,,,,,,,,,,,,
Office of Institutional Studies and Planning,,,,,,,,,,,,
Headcount by Level by Ethnic Origin by Gender,,,,,,,,,,,,
Summer 2004,,,,,,,,,,,,
Enrollment Profiles – Summer 2004 Official Combined Summer Data – Not Certified,,,,,,,,,,,,
Summer 2004,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Female,White,"5,695",5.4%,817,-1.1%,431,3.4%,99,28.6%,"7,042",4.7%,
,Black,229,8.0%,44,29.4%,59,11.3%,,,332,11.0%,
,Hispanic,674,5.3%,104,23.8%,69,19.0%,7,-12.5%,854,8.1%,
,Asian,207,1.5%,33,26.9%,22,0.0%,4,100.0%,266,4.7%,
,American Indian,34,-2.9%,2,-50.0%,1,-66.7%,0,-100.0%,37,-14.0%,
,International,68,-11.7%,277,1.1%,295,1.0%,,,640,-0.5%,
,Unknown/Other,47,-44.7%,25,19.0%,9,50.0%,0,-100.0%,81,-28.3%,
,Subtotal,"6,954",4.5%,"1,302",2.6%,886,4.1%,110,23.6%,"9,252",4.4%,
Male,White,"5,347",-0.6%,805,5.2%,497,0.2%,37,-11.9%,"6,686",0.0%,
,Black,194,11.5%,22,0.0%,28,75.0%,,,244,15.1%,
,Hispanic,661,8.5%,86,16.2%,54,17.4%,2,0.0%,803,9.8%,
,Asian,261,7.9%,35,-5.4%,17,-15.0%,,,313,4.7%,
,American Indian,35,6.1%,2,100.0%,4,0.0%,1,100.0%,42,10.5%,
,International,181,-2.7%,600,-4.6%,862,2.1%,,,"1,643",-1.0%,
,Unknown/Other,66,-27.5%,23,-17.9%,15,15.4%,0,-100.0%,104,-23.0%,
,Subtotal,"6,745",0.4%,"1,573",1.1%,"1,477",2.6%,40,-14.9%,"9,835",0.8%,
Grand Total,,"13,699",2.4%,"2,875",1.8%,"2,363",3.2%,150,10.3%,"19,087",2.5%,
"Prepared by OISP, 18 Aug 04",,,,,,,,,,,,
