Summer 2004,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"13,699",2.4%,"2,875",1.8%,"2,363",3.2%,150,10.3%,"19,087",2.5%,
Gender,Female,"6,954",4.5%,"1,302",2.6%,886,4.1%,110,23.6%,"9,252",4.4%,
,Male,"6,745",0.4%,"1,573",1.1%,"1,477",2.6%,40,-14.9%,"9,835",0.8%,
Ethnicity,White,"11,042",2.4%,"1,622",1.9%,928,1.6%,136,14.3%,"13,728",2.4%,
,Black,423,9.6%,66,17.9%,87,26.1%,,,576,12.7%,
,Hispanic,"1,335",6.9%,190,20.3%,123,18.3%,9,-10.0%,"1,657",8.9%,
,Asian,468,4.9%,68,7.9%,39,-7.1%,4,100.0%,579,4.7%,
,American Indian,69,1.5%,4,-20.0%,5,-28.6%,1,0.0%,79,-2.5%,
,International,249,-5.3%,877,-2.9%,"1,157",1.8%,,,"2,283",-0.8%,
,Unknown/Other,113,-35.8%,48,-2.0%,24,26.3%,0,-100.0%,185,-25.4%,
TAMU Age,<18,7,40.0%,,,,,,,7,40.0%,
Categories,18-21,"6,548",2.4%,7,-36.4%,0,-100.0%,1,-66.7%,"6,556",2.2%,
,22-25,"6,547",2.9%,"1,442",1.2%,164,3.8%,69,30.2%,"8,222",2.8%,
,26-30,407,-4.2%,842,3.4%,930,7.3%,57,-9.5%,"2,236",3.1%,
,31-39,124,0.0%,386,8.7%,862,0.5%,21,61.5%,"1,393",3.2%,
,40+,66,10.0%,198,-10.0%,407,1.0%,2,-50.0%,673,-2.0%,
Enrollment,1st Time in College,222,13.8%,,,,,,,222,13.8%,
Status,1st Time PB,6,-14.3%,101,-40.9%,,,,,107,-39.9%,
,1st Time Graduate,,,292,-0.3%,37,5.7%,,,329,0.3%,
,1st Time Professional,,,,,,,14,27.3%,14,27.3%,
,1st Time Transfer,186,-27.6%,,,,,,,186,-27.6%,
,Readmitted,128,8.5%,13,160.0%,4,100.0%,,,145,16.0%,
,Continuing,"13,157",2.8%,"2,469",4.8%,"2,322",3.1%,136,8.8%,"18,084",3.2%,
Tuition,Resident Tuition,"12,970",2.5%,"1,588",5.9%,825,3.6%,148,12.1%,"15,531",2.9%,
Status,Non-Resident Tuition,464,4.0%,311,-6.3%,286,13.0%,1,-50.0%,"1,062",2.8%,
,Tuition Exemption/Waiver,265,-1.1%,976,-1.7%,"1,252",0.9%,1,-50.0%,"2,494",-0.4%,
Residency,Texas Resident,"12,994",2.5%,"1,595",5.4%,836,4.2%,148,12.1%,"15,573",2.9%,
Status,"Non-TX, US Resident",449,5.4%,397,-1.7%,362,4.0%,2,-50.0%,"1,210",2.4%,
,"Non-TX, Non-US Resident",256,-4.1%,883,-2.6%,"1,165",2.2%,,,"2,304",-0.4%,
SCH,< 6 SCH,"4,070",1.1%,945,5.8%,749,21.8%,19,5.6%,"5,783",4.1%,
Categories,6-8 SCH,"5,215",1.1%,"1,514",-5.4%,"1,389",-7.8%,131,11.0%,"8,249",-1.6%,
,9-11 SCH,"2,555",0.4%,282,25.3%,175,27.7%,,,"3,012",3.6%,
,12-14 SCH,"1,689",11.3%,125,28.9%,45,60.7%,,,"1,859",13.1%,
,15-17 SCH,159,43.2%,8,-11.1%,5,66.7%,,,172,39.8%,
,>17 SCH,11,-31.3%,1,0.0%,0,-100.0%,,,12,-33.3%,
Ft/Pt:,Less Than Half Time,798,6.3%,267,6.8%,433,21.3%,4,100.0%,"1,502",10.6%,
"TAMU
Status","Half-Time
Three-Quarter Time","4,057
31","-3.5%
-18.4%",286,23.3%,92,-1.1%,16,-11.1%,"4,451
31","-2.1%
-18.4%",
,Full-Time,"8,813",5.2%,"2,322",-0.9%,"1,838",-0.1%,130,10.2%,"13,103",3.3%,
"Prepared by OISP, 18 Aug 04",,,,,,,,,,,,
