Summer 2004,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,636,11.6%,264,-5.7%,319,8.1%,,,"1,219",6.5%,
Gender,Female,376,13.9%,124,-0.8%,85,11.8%,,,585,10.2%,
,Male,260,8.3%,140,-9.7%,234,6.8%,,,634,3.3%,
Ethnicity,White,460,10.0%,140,-7.9%,105,15.4%,,,705,6.7%,
,Black,16,-20.0%,3,-40.0%,4,0.0%,,,23,-20.7%,
,Hispanic,88,27.5%,22,15.8%,7,-12.5%,,,117,21.9%,
,Asian,56,19.1%,10,25.0%,4,-33.3%,,,70,14.8%,
,American Indian,2,100.0%,,,1,0.0%,,,3,50.0%,
,International,11,57.1%,83,-4.6%,196,6.5%,,,290,4.3%,
,Unknown/Other,3,-62.5%,6,-33.3%,2,100.0%,,,11,-38.9%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,372,16.6%,0,-100.0%,,,,,372,16.3%,
,22-25,240,5.3%,75,-25.0%,42,10.5%,,,357,-2.5%,
,26-30,20,17.6%,91,12.3%,174,10.1%,,,285,11.3%,
,31-39,4,0.0%,50,22.0%,96,5.5%,,,150,10.3%,
,40+,0,-100.0%,48,-15.8%,7,-12.5%,,,55,-17.9%,
Enrollment,1st Time in College,6,500.0%,,,,,,,6,500.0%,
Status,1st Time PB,,,37,-47.9%,,,,,37,-47.9%,
,1st Time Graduate,,,14,7.7%,5,25.0%,,,19,11.8%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,6,-50.0%,,,,,,,6,-50.0%,
,Readmitted,6,50.0%,1,100.0%,,,,,7,75.0%,
,Continuing,618,11.8%,212,8.2%,314,7.9%,,,"1,144",10.0%,
Tuition,Resident Tuition,568,4.8%,110,1.9%,47,14.6%,,,725,4.9%,
Status,Non-Resident Tuition,49,157.9%,32,-15.8%,55,129.2%,,,136,67.9%,
,Tuition Exemption/Waiver,19,111.1%,122,-9.0%,217,-5.7%,,,358,-4.0%,
Residency,Texas Resident,572,5.3%,110,-0.9%,50,22.0%,,,732,5.3%,
Status,"Non-TX, US Resident",52,160.0%,70,-12.5%,72,4.3%,,,194,14.8%,
,"Non-TX, Non-US Resident",12,71.4%,84,-5.6%,197,6.5%,,,293,4.3%,
SCH,< 6 SCH,253,39.8%,91,5.8%,120,118.2%,,,464,44.1%,
Categories,6-8 SCH,235,6.3%,162,-13.8%,198,-16.5%,,,595,-7.9%,
,9-11 SCH,91,-24.2%,9,50.0%,1,-66.7%,,,101,-21.7%,
,12-14 SCH,52,10.6%,2,100.0%,,,,,54,14.9%,
,15-17 SCH,5,400.0%,,,,,,,5,400.0%,
,>17 SCH,,,,,,,,,,,
Ft/Pt:,Less Than Half Time,83,151.5%,14,75.0%,56,409.1%,,,153,194.2%,
"TAMU
Status","Half-Time
Three-Quarter Time","181
4","5.8%
-20.0%",6,50.0%,3,200.0%,,,"190
4","8.0%
-20.0%",
,Full-Time,368,1.9%,244,-9.0%,260,-8.1%,,,872,-4.4%,
"Prepared by OISP, 18 Aug 04",,,,,,,,,,,,
