Summer 2004,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"2,244",-6.8%,702,-4.1%,643,0.3%,,,"3,589",-5.1%,
Gender,Female,481,0.2%,136,16.2%,95,-6.9%,,,712,1.9%,
,Male,"1,763",-8.6%,566,-8.0%,548,1.7%,,,"2,877",-6.7%,
Ethnicity,White,"1,591",-6.7%,206,-1.0%,81,15.7%,,,"1,878",-5.3%,
,Black,71,-7.8%,5,0.0%,7,133.3%,,,83,-2.4%,
,Hispanic,239,-5.5%,28,12.0%,9,12.5%,,,276,-3.5%,
,Asian,151,-11.2%,20,25.0%,9,-18.2%,,,180,-8.6%,
,American Indian,8,33.3%,1,100.0%,1,0.0%,,,10,42.9%,
,International,160,3.9%,435,-8.0%,535,-2.2%,,,"1,130",-3.7%,
,Unknown/Other,24,-44.2%,7,40.0%,1,0.0%,,,32,-34.7%,
TAMU Age,<18,0,-100.0%,,,,,,,0,-100.0%,
Categories,18-21,938,-10.5%,0,-100.0%,0,-100.0%,,,938,-11.1%,
,22-25,"1,179",-1.5%,397,0.3%,61,8.9%,,,"1,637",-0.7%,
,26-30,95,-12.8%,217,-7.7%,299,0.7%,,,611,-4.7%,
,31-39,23,-30.3%,70,-1.4%,257,0.8%,,,350,-2.5%,
,40+,9,-52.6%,18,-33.3%,26,-10.3%,,,53,-29.3%,
Enrollment,1st Time in College,8,-46.7%,,,,,,,8,-46.7%,
Status,1st Time PB,1,-50.0%,3,-70.0%,,,,,4,-66.7%,
,1st Time Graduate,,,43,26.5%,15,-25.0%,,,58,7.4%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,17,-60.5%,,,,,,,17,-60.5%,
,Readmitted,14,16.7%,3,200.0%,,,,,17,30.8%,
,Continuing,"2,204",-5.7%,653,-4.9%,628,1.1%,,,"3,485",-4.4%,
Tuition,Resident Tuition,"1,973",-8.0%,210,1.9%,62,8.8%,,,"2,245",-6.7%,
Status,Non-Resident Tuition,193,17.0%,143,-2.7%,102,4.1%,,,438,6.8%,
,Tuition Exemption/Waiver,78,-21.2%,349,-7.9%,479,-1.4%,,,906,-6.0%,
Residency,Texas Resident,"1,973",-8.1%,211,1.0%,64,6.7%,,,"2,248",-6.9%,
Status,"Non-TX, US Resident",108,0.0%,54,12.5%,40,25.0%,,,202,7.4%,
,"Non-TX, Non-US Resident",163,5.8%,437,-8.0%,539,-1.8%,,,"1,139",-3.3%,
SCH,< 6 SCH,797,-4.2%,219,-0.9%,97,18.3%,,,"1,113",-1.9%,
Categories,6-8 SCH,907,-10.3%,451,-6.6%,536,-1.1%,,,"1,894",-7.0%,
,9-11 SCH,418,-5.2%,31,40.9%,9,-35.7%,,,458,-4.0%,
,12-14 SCH,113,-5.8%,1,-83.3%,1,-50.0%,,,115,-10.2%,
,15-17 SCH,9,125.0%,,,0,-100.0%,,,9,80.0%,
,>17 SCH,,,,,,,,,,,
Ft/Pt:,Less Than Half Time,229,10.1%,95,-5.0%,74,29.8%,,,398,9.0%,
"TAMU
Status","Half-Time
Three-Quarter Time","667
6","-14.6%
-57.1%",69,-5.5%,9,-43.8%,,,"745
6","-14.4%
-57.1%",
,Full-Time,"1,342",-4.5%,538,-3.8%,560,-1.4%,,,"2,440",-3.6%,
"Prepared by OISP, 18 Aug 04",,,,,,,,,,,,
