Summer 2004,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
Architecture,ARCH,21,32,1,1,1,5,2,2,1,2,19,27,2,2,46,68,114,
,COMG,7,14,1,,,1,,1,,,11,24,,1,19,42,61,
,COSC,18,198,1,1,2,15,1,2,,,,1,,1,22,220,242,
,COSL,11,64,,1,4,5,,2,,,,,,,15,72,87,
,ENDL,22,17,,3,3,3,2,2,,1,2,1,,,29,27,56,
,ENDS,60,59,2,1,9,12,3,3,,,,,1,,75,75,150,
,LAND,7,8,,,,,,,,,8,3,1,,16,11,27,
,LANL,6,7,,1,1,,1,,,,,,,,8,8,16,
,LDEV,1,8,,,1,,,,,,3,6,,,5,14,19,
,URPL,2,7,,,,1,,,,,3,4,,1,5,13,18,
,URSC,2,3,,,,,,,,,3,11,,1,5,15,20,
,VIZA,6,11,,,2,3,3,1,,,1,4,,1,12,20,32,
,Subtotal,163,428,5,8,23,45,12,13,,3,50,81,4,7,257,585,842,
Business,ACCT,287,201,8,1,20,7,15,8,,,8,7,1,,339,224,563,
Admin,AGBU,2,2,,,,1,,,,,,,,,2,3,5,
,BUAD,120,104,6,1,10,3,7,5,,,2,10,,1,145,124,269,
,BUAG,1,1,,,,,,,,,,,,,1,1,2,
,FINC,160,227,4,2,4,11,6,9,,2,4,10,2,2,180,263,443,
,INFO,34,50,3,1,2,4,4,2,,2,6,3,,1,50,63,113,
,MGMT,108,107,5,2,14,8,7,5,,1,6,6,1,,141,129,270,
,MISY,12,16,,1,1,,1,,,,10,28,,1,24,46,70,
,MKTG,243,102,5,2,12,8,4,6,,,5,11,3,1,272,130,402,
,MLER,8,26,1,,,3,,,,,,1,,,9,30,39,
,Subtotal,975,836,32,10,63,45,44,35,1,5,41,76,7,6,"1,163","1,013",2176,
Education,CPSY,15,13,2,2,2,1,1,,,,2,,,,22,16,38,
,EDAD,93,67,18,11,29,13,,,1,,6,,3,2,150,93,243,
,EDCI,150,40,30,6,26,6,2,2,,,15,2,1,,224,56,280,
,EDHL,55,4,5,1,5,1,1,1,,,,,,,66,7,73,
,EDIS,202,13,8,1,22,2,1,1,2,,,,,,235,17,252,
,EDKI,135,126,6,6,16,9,3,4,,1,1,,,,161,146,307,
,EDTC,14,4,1,,1,,,,,,2,,,,18,4,22,
,EHRD,50,30,8,4,11,9,,2,,,12,2,,2,81,49,130,
,EPSY,69,9,3,2,27,1,1,,,,14,4,1,,115,16,131,
,HEED,13,6,3,1,,,,,,,1,1,1,,18,8,26,
,HLTH,103,7,2,2,9,2,,,1,,,,1,,116,11,127,
,INST,510,16,7,1,38,2,2,,4,,2,,2,,565,19,584,
,ISNC,65,39,3,2,12,6,,5,,1,1,1,,1,81,55,136,
,KINE,169,143,2,1,10,15,1,2,2,1,3,7,,4,187,173,360,
,PHED,1,3,,,,1,,,,,,1,,,1,5,6,
,SPSY,18,1,5,,5,4,1,,,,1,1,1,,31,6,37,
,TECR,4,1,,,,,,,,,,,,,4,1,5,
,Subtotal,"1,666",522,103,40,213,72,13,17,10,3,60,19,10,9,"2,075",682,2757,
"Prepared by OISP, 18 Aug 04",,,,,,,,,,,,,,,,,,,
