Summer 2004,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
"Engineering       AERL
AERO BMEL BMEN CECL CECN CEEL CEEN CHEL CHEN CPEN CPSC CPSL CVEL CVEN ELEL ELEN ENGR ENSM ENTC ENTL HLPH IDIL IDIS INEL INEN ITDE MEEL MEEN NUEL NUEN OCEL OCEN PETE PETL PREN RHEL RHEN SENG",,"21
88
22
67
13
45
18
60
29
117
4
126
30
29
250
37
131
3
48
65
3
36
111
6
39
7
47
233
14
45
5
42
43
16
16
1
10
1","50.0%
10.0%
69.2%
-2.9%
-27.8%
-11.8%
-18.2%
-18.9%
11.5%
-4.1%
-33.3%
-25.9%
30.4%
-3.3%
-0.8%
27.6%
-12.1%
100.0%
-47.8%
44.4%
200.0%
-18.2%
-11.9%
0.0%
-15.2%
-12.5%
42.4%
-14.0%
75.0%
0.0%
0.0%
20.0%
59.3%
0.0%
-11.1%
-50.0%
66.7%
0.0%","2
1
0
4
0
1
1
5
0
6
5
2
1
7
5
8
0
5
4
1
2
3
5
2
3
1
1
2
1
1
3
1","0.0%
0.0%
-100.0%
100.0%
-100.0%
0.0%
-66.7%
25.0%
-100.0%
50.0%
-28.6%
0.0%
100.0%
0.0%
150.0%
-20.0%
-100.0%
-28.6%
300.0%
100.0%
-60.0%
50.0%
0.0%
100.0%
50.0%
100.0%
100.0%
-33.3%
0.0%
100.0%
-25.0%
100.0%","5
6
2
6
2
2
6
10
4
19
13
6
4
41
3
20
1
12
4
2
4
9
2
17
4
29
3
7
1
9
6
5
11
1
0
0","66.7%
-50.0%
-71.4%
0.0%
0.0%
-50.0%
0.0%
25.0%
-33.3%
90.0%
-13.3%
50.0%
100.0%
-21.2%
50.0%
11.1%
0.0%
-20.0%
-20.0%
100.0%
-20.0%
-50.0%
100.0%
6.3%
-42.9%
11.5%
50.0%
75.0%
100.0%
28.6%
20.0%
150.0%
-8.3%
100.0%
-100.0%
-100.0%","0
5
4
12
2
5
1
13
2
13
13
2
2
10
5
31
0
5
7
0
2
3
1
11
2
10
1
7
0
4
5
1
1","-100.0%
0.0%
33.3%
9.1%
-66.7%
-28.6%
-75.0%
30.0%
-60.0%
-7.1%
-51.9%
0.0%
100.0%
0.0%
0.0%
24.0%
-100.0%
25.0%
-22.2%
-100.0%
100.0%
-70.0%
100.0%
37.5%
100.0%
-16.7%
0.0%
75.0%
-100.0%
33.3%
66.7%
-50.0%
0.0%","0
1
2
1
1
0
1
0
2
1
1
0","-100.0%
100.0%
100.0%
100.0%
100.0%
-100.0%
100.0%
-100.0%
100.0%
100.0%
0.0%
-100.0%","0
51
1
35
3
12
4
29
3
84
19
128
4
0
132
8
194
5
1
0
2
5
3
1
4
87
5
0
174
26
23
76
8
1
1
1","-100.0%
-8.9%
0.0%
16.7%
-25.0%
9.1%
100.0%
61.1%
100.0%
-2.3%
-38.7%
1.6%
-33.3%
-100.0%
5.6%
0.0%
6.6%
25.0%
100.0%
-100.0%
0.0%
25.0%
200.0%
-66.7%
-55.6%
-25.0%
-16.7%
-100.0%
3.6%
-16.1%
4.5%
-27.6%
60.0%
100.0%
100.0%
0.0%","1
1
0
2
1
1
1
1
2
3
1
5
0
1
1
0
1
1
1
0
4
1
2
1","100.0%
-50.0%
-100.0%
100.0%
100.0%
-66.7%
100.0%
-50.0%
0.0%
-40.0%
-50.0%
-16.7%
-100.0%
-66.7%
0.0%
-100.0%
0.0%
100.0%
-50.0%
-100.0%
-20.0%
100.0%
-66.7%
100.0%","29
152
29
127
21
66
32
118
39
241
23
288
44
38
446
58
385
5
5
71
82
10
46
128
17
160
14
53
455
19
89
8
80
132
31
32
3
12
1","31.8%
-2.6%
-9.4%
6.7%
-34.4%
-14.3%
-13.5%
3.5%
-2.5%
1.3%
-37.8%
-17.7%
18.9%
2.7%
-1.3%
23.4%
-0.5%
0.0%
66.7%
-41.8%
28.1%
66.7%
-11.5%
-21.5%
-5.6%
-17.1%
-6.7%
10.4%
-6.2%
72.7%
-1.1%
14.3%
14.3%
-7.0%
24.0%
-8.6%
50.0%
33.3%
-50.0%",
,Subtotal,"1,878",-5.3%,83,-2.4%,276,-3.5%,180,-8.6%,10,42.9%,"1,130",-3.7%,32,-34.7%,"3,589",-5.1%,
G. Bush,BUSH,21,-30.0%,2,100.0%,1,-50.0%,1,100.0%,0,-100.0%,4,100.0%,0,-100.0%,29,-12.1%,
School of,INTA,43,152.9%,3,100.0%,5,-16.7%,3,200.0%,,,1,-75.0%,1,100.0%,56,93.1%,
Govt,Subtotal,64,36.2%,5,100.0%,6,-25.0%,4,300.0%,0,-100.0%,5,25.0%,1,0.0%,85,37.1%,
"Prepared by OISP, 18 Aug 04",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
