Summer 2004,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,558,0.4%,240,20.0%,44,4.8%,,,842,5.5%,
Gender,Female,153,13.3%,95,11.8%,9,-30.8%,,,257,10.3%,
,Male,405,-3.8%,145,26.1%,35,20.7%,,,585,3.5%,
Ethnicity,White,469,-1.3%,112,21.7%,10,-16.7%,,,591,2.1%,
,Black,10,42.9%,3,50.0%,,,,,13,44.4%,
,Hispanic,54,-1.8%,13,44.4%,1,0.0%,,,68,4.6%,
,Asian,16,77.8%,9,80.0%,,,,,25,78.6%,
,American Indian,3,-25.0%,,,,,,,3,-25.0%,
,International,4,100.0%,96,9.1%,31,6.9%,,,131,12.0%,
,Unknown/Other,2,-66.7%,7,75.0%,2,100.0%,,,11,10.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,216,-3.1%,,,,,,,216,-3.1%,
,22-25,313,0.3%,103,7.3%,,,,,416,2.0%,
,26-30,18,12.5%,94,22.1%,10,100.0%,,,122,24.5%,
,31-39,9,80.0%,39,50.0%,26,-16.1%,,,74,19.4%,
,40+,2,100.0%,4,300.0%,8,33.3%,,,14,100.0%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,2,0.0%,,,,,2,0.0%,
,1st Time Graduate,,,15,-21.1%,0,-100.0%,,,15,-25.0%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,4,-71.4%,,,,,,,4,-71.4%,
,Readmitted,2,0.0%,1,100.0%,1,100.0%,,,4,100.0%,
,Continuing,552,2.2%,222,24.0%,43,4.9%,,,817,7.5%,
Tuition,Resident Tuition,535,-0.7%,123,41.4%,10,-16.7%,,,668,4.7%,
Status,Non-Resident Tuition,15,50.0%,20,-31.0%,13,160.0%,,,48,9.1%,
,Tuition Exemption/Waiver,8,14.3%,97,15.5%,21,-16.0%,,,126,8.6%,
Residency,Texas Resident,536,-0.7%,122,38.6%,10,-16.7%,,,668,4.4%,
Status,"Non-TX, US Resident",18,12.5%,20,-16.7%,3,200.0%,,,41,0.0%,
,"Non-TX, Non-US Resident",4,100.0%,98,11.4%,31,6.9%,,,133,13.7%,
SCH,< 6 SCH,140,-21.3%,119,50.6%,19,18.8%,,,278,1.8%,
Categories,6-8 SCH,187,-4.1%,83,-15.3%,24,4.3%,,,294,-7.0%,
,9-11 SCH,104,22.4%,27,50.0%,1,-50.0%,,,132,25.7%,
,12-14 SCH,107,35.4%,11,175.0%,0,-100.0%,,,118,40.5%,
,15-17 SCH,20,11.1%,0,-100.0%,,,,,20,5.3%,
,>17 SCH,0,-100.0%,,,,,,,0,-100.0%,
Ft/Pt:,Less Than Half Time,36,-51.4%,33,135.7%,11,10.0%,,,80,-18.4%,
"TAMU
Status","Half-Time
Three-Quarter Time","122
1","-10.3%
-50.0%",59,43.9%,5,150.0%,,,"186
1","3.9%
-50.0%",
,Full-Time,399,16.0%,148,2.1%,28,-6.7%,,,575,10.8%,
"Prepared by OISP, 18 Aug 04",,,,,,,,,,,,
