Summer 2004,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,187,17.6%,100,-2.9%,74,1.4%,,,361,7.8%,
Gender,Female,62,-8.8%,46,2.2%,27,-3.6%,,,135,-4.3%,
,Male,125,37.4%,54,-6.9%,47,4.4%,,,226,16.5%,
Ethnicity,White,165,19.6%,74,1.4%,29,3.6%,,,268,12.1%,
,Black,3,-25.0%,,,,,,,3,-25.0%,
,Hispanic,16,14.3%,2,-50.0%,1,100.0%,,,19,5.6%,
,Asian,0,-100.0%,1,-50.0%,1,0.0%,,,2,-50.0%,
,American Indian,,,,,1,0.0%,,,1,0.0%,
,International,,,19,0.0%,42,-2.3%,,,61,-1.6%,
,Unknown/Other,3,50.0%,4,-20.0%,,,,,7,0.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,70,18.6%,,,,,,,70,18.6%,
,22-25,99,17.9%,43,-6.5%,2,0.0%,,,144,9.1%,
,26-30,8,-27.3%,34,3.0%,27,42.1%,,,69,9.5%,
,31-39,8,100.0%,17,-15.0%,36,-7.7%,,,61,-3.2%,
,40+,2,100.0%,6,50.0%,9,-30.8%,,,17,-5.6%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,0,-100.0%,2,-66.7%,,,,,2,-71.4%,
,1st Time Graduate,,,1,-66.7%,,,,,1,-66.7%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,4,33.3%,,,,,,,4,33.3%,
,Readmitted,0,-100.0%,,,,,,,0,-100.0%,
,Continuing,183,18.8%,97,3.2%,74,1.4%,,,354,10.3%,
Tuition,Resident Tuition,181,19.1%,36,0.0%,14,-6.7%,,,231,13.8%,
Status,Non-Resident Tuition,1,-75.0%,10,-9.1%,10,-16.7%,,,21,-22.2%,
,Tuition Exemption/Waiver,5,66.7%,54,-3.6%,50,8.7%,,,109,3.8%,
Residency,Texas Resident,184,21.1%,36,0.0%,13,-7.1%,,,233,15.3%,
Status,"Non-TX, US Resident",3,-57.1%,45,-6.3%,19,18.8%,,,67,-5.6%,
,"Non-TX, Non-US Resident",,,19,0.0%,42,-2.3%,,,61,-1.6%,
SCH,< 6 SCH,75,47.1%,29,7.4%,19,0.0%,,,123,26.8%,
Categories,6-8 SCH,77,5.5%,68,-8.1%,54,0.0%,,,199,-1.0%,
,9-11 SCH,19,-17.4%,3,200.0%,1,100.0%,,,23,-4.2%,
,12-14 SCH,16,45.5%,0,-100.0%,,,,,16,33.3%,
,15-17 SCH,0,-100.0%,,,,,,,0,-100.0%,
,>17 SCH,,,,,,,,,,,
Ft/Pt:,Less Than Half Time,21,40.0%,14,-12.5%,13,-7.1%,,,48,6.7%,
"TAMU
Status","Half-Time
Three-Quarter Time",64,23.1%,4,-20.0%,3,200.0%,,,71,22.4%,
,Full-Time,102,10.9%,82,0.0%,58,0.0%,,,242,4.3%,
"Prepared by OISP, 18 Aug 04",,,,,,,,,,,,
