Summer 2004,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,670,28.6%,,,,,,,670,28.6%,
Gender,Female,303,25.2%,,,,,,,303,25.2%,
,Male,367,31.5%,,,,,,,367,31.5%,
Ethnicity,White,484,26.0%,,,,,,,484,26.0%,
,Black,47,27.0%,,,,,,,47,27.0%,
,Hispanic,106,35.9%,,,,,,,106,35.9%,
,Asian,21,162.5%,,,,,,,21,162.5%,
,American Indian,3,100.0%,,,,,,,3,100.0%,
,International,7,-12.5%,,,,,,,7,-12.5%,
,Unknown/Other,2,-66.7%,,,,,,,2,-66.7%,
TAMU Age,<18,6,100.0%,,,,,,,6,100.0%,
Categories,18-21,641,27.9%,,,,,,,641,27.9%,
,22-25,19,35.7%,,,,,,,19,35.7%,
,26-30,2,-33.3%,,,,,,,2,-33.3%,
,31-39,2,100.0%,,,,,,,2,100.0%,
,40+,,,,,,,,,,,
Enrollment,1st Time in College,179,32.6%,,,,,,,179,32.6%,
Status,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,,,,,,,,,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,1,-83.3%,,,,,,,1,-83.3%,
,Readmitted,1,100.0%,,,,,,,1,100.0%,
,Continuing,489,28.7%,,,,,,,489,28.7%,
Tuition,Resident Tuition,642,34.0%,,,,,,,642,34.0%,
Status,Non-Resident Tuition,16,-40.7%,,,,,,,16,-40.7%,
,Tuition Exemption/Waiver,12,-20.0%,,,,,,,12,-20.0%,
Residency,Texas Resident,644,32.8%,,,,,,,644,32.8%,
Status,"Non-TX, US Resident",20,-23.1%,,,,,,,20,-23.1%,
,"Non-TX, Non-US Resident",6,-40.0%,,,,,,,6,-40.0%,
SCH,< 6 SCH,188,5.6%,,,,,,,188,5.6%,
Categories,6-8 SCH,212,24.0%,,,,,,,212,24.0%,
,9-11 SCH,219,43.1%,,,,,,,219,43.1%,
,12-14 SCH,51,168.4%,,,,,,,51,168.4%,
,15-17 SCH,,,,,,,,,,,
,>17 SCH,,,,,,,,,,,
Ft/Pt:,Less Than Half Time,12,20.0%,,,,,,,12,20.0%,
"TAMU
Status","Half-Time
Three-Quarter Time","213
2","21.0%
100.0%",,,,,,,"213
2","21.0%
100.0%",
,Full-Time,443,32.6%,,,,,,,443,32.6%,
"Prepared by OISP, 18 Aug 04",,,,,,,,,,,,
