Summer 2004,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Geosciences,ATMO,30,7.1%,1,0.0%,1,100.0%,1,-66.7%,1,0.0%,18,28.6%,2,-33.3%,50,11.1%,
,ENGS,8,700.0%,,,,,,,,,,,,,9,800.0%,
,ENST,16,100.0%,,,2,100.0%,,,,,,,,,19,111.1%,
,ESCI,0,-100.0%,,,,,,,,,,,,,0,-100.0%,
,GEOG,73,-1.4%,2,100.0%,9,-18.2%,,,,,6,0.0%,1,0.0%,91,-2.2%,
,GEOL,48,6.7%,,,4,0.0%,,,,,13,44.4%,3,200.0%,69,11.3%,
,GEOP,13,44.4%,,,1,100.0%,,,,,5,-37.5%,1,-50.0%,21,5.0%,
,GEOS,5,66.7%,,,,,,,,,,,,,5,66.7%,
,METR,43,22.9%,0,-100.0%,1,-50.0%,,,,,0,-100.0%,,,44,10.0%,
,OCNG,32,-5.9%,,,1,0.0%,1,0.0%,,,19,-20.8%,,,53,-11.7%,
,Subtotal,268,12.1%,3,-25.0%,19,5.6%,2,-50.0%,1,0.0%,61,-1.6%,7,0.0%,361,7.8%,
Liberal Arts,AMST,10,25.0%,,,4,100.0%,,,,,,,,,14,40.0%,
,ANTH,58,-9.4%,,,6,-14.3%,2,100.0%,1,100.0%,1,-66.7%,2,-33.3%,70,-10.3%,
,ECON,291,13.2%,9,0.0%,41,17.1%,17,13.3%,1,100.0%,35,16.7%,5,-28.6%,399,13.0%,
,ENGL,282,21.0%,18,125.0%,25,0.0%,7,75.0%,1,-66.7%,8,33.3%,7,75.0%,348,23.0%,
,FREN,6,200.0%,,,1,0.0%,,,,,,,,,7,133.3%,
,GERM,1,0.0%,,,1,0.0%,1,0.0%,,,,,,,3,0.0%,
,HIST,237,4.4%,1,0.0%,21,-25.0%,2,0.0%,1,-66.7%,,,6,20.0%,268,0.8%,
,INTS,89,-3.3%,3,-25.0%,29,38.1%,5,66.7%,3,200.0%,1,100.0%,3,200.0%,133,9.0%,
,JOUR,76,-51.3%,3,-40.0%,7,-36.4%,0,-100.0%,0,-100.0%,1,100.0%,2,0.0%,89,-49.7%,
,MODL,1,0.0%,,,,,,,,,,,,,1,0.0%,
,MUSC,3,-50.0%,,,1,0.0%,0,-100.0%,,,,,,,4,-50.0%,
,PHIL,33,-10.8%,,,11,120.0%,1,100.0%,,,1,100.0%,3,0.0%,49,8.9%,
,POLS,416,5.1%,12,50.0%,44,-12.0%,7,-22.2%,4,100.0%,12,20.0%,1,-83.3%,496,3.1%,
,PSYC,495,-5.2%,29,38.1%,64,3.2%,17,-15.0%,4,0.0%,9,-10.0%,2,-77.8%,620,-4.3%,
,RUSS,1,-83.3%,,,1,0.0%,,,,,,,,,2,-71.4%,
,SCOM,281,1.8%,4,0.0%,33,22.2%,2,0.0%,1,-66.7%,6,100.0%,4,0.0%,331,3.8%,
,SOCI,147,8.9%,13,44.4%,32,28.0%,5,0.0%,2,100.0%,4,-42.9%,1,-66.7%,204,10.9%,
,SPAN,32,113.3%,1,100.0%,15,0.0%,,,,,,,0,-100.0%,48,54.8%,
,STJR,4,0.0%,,,0,-100.0%,,,,,4,100.0%,,,8,14.3%,
,TCMS,7,250.0%,1,100.0%,,,,,,,1,100.0%,0,-100.0%,9,200.0%,
,THAR,23,43.8%,,,6,50.0%,,,,,,,,,29,45.0%,
,Subtotal,"2,493",1.5%,94,36.2%,342,6.2%,66,1.5%,18,5.9%,83,16.9%,36,-26.5%,"3,132",2.7%,
"Prepared by OISP, 18 Aug 04",,,,,,,,,,,,,,,,,,
