Texas A&M University,,,,,,,,,,,,
Office of Institutional Studies and Planning,,,,,,,,,,,,
Headcount by Level by Ethnic Origin by Gender,,,,,,,,,,,,
Spring 2004,,,,,,,,,,,,
Enrollment Profile – Spring 2004 Official Certified 12th Class Data,,,,,,,,,,,,
Spring 2004,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Female,White,"13,616",-1.5%,"1,151",0.1%,590,3.0%,321,3.5%,"15,678",-1.1%,
,Black,424,-11.1%,60,22.4%,76,5.6%,,,560,-6.4%,
,Hispanic,"1,534",3.9%,134,13.6%,82,5.1%,27,28.6%,"1,777",4.9%,
,Asian,483,-1.0%,38,-19.1%,34,6.3%,8,-20.0%,563,-2.4%,
,American Indian,82,-2.4%,4,-20.0%,3,0.0%,1,0.0%,90,-3.2%,
,International,166,11.4%,448,-4.7%,411,12.6%,,,"1,025",4.2%,
,Unknown/Other,114,-30.1%,37,5.7%,10,25.0%,5,0.0%,166,-21.3%,
,Subtotal,"16,419",-1.4%,"1,872",-0.1%,"1,206",6.6%,362,4.3%,"19,859",-0.8%,
Male,White,"13,802",-3.0%,"1,355",9.6%,699,-4.0%,125,-3.8%,"15,981",-2.1%,
,Black,344,-1.1%,40,25.0%,33,26.9%,1,100.0%,418,3.0%,
,Hispanic,"1,620",2.8%,136,5.4%,70,0.0%,7,75.0%,"1,833",3.0%,
,Asian,576,-3.0%,71,16.4%,27,12.5%,2,-33.3%,676,-0.9%,
,American Indian,90,2.3%,3,-25.0%,5,-16.7%,1,0.0%,99,0.0%,
,International,359,6.8%,985,-12.3%,"1,168",7.6%,,,"2,512",-1.3%,
,Unknown/Other,151,-29.1%,47,6.8%,21,10.5%,3,0.0%,222,-20.4%,
,Subtotal,"16,942",-2.5%,"2,637",0.3%,"2,023",3.3%,139,-1.4%,"21,741",-1.7%,
Grand Total,,"33,361",-2.0%,"4,509",0.1%,"3,229",4.5%,501,2.7%,"41,600",-1.2%,
"Prepared by OISP, 05 May 04",,,,,,,,,,,,
