"Spring 2004
Liberal Arts              ANTH CLLA COMM ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                CLVM
Medicine                  VAPH VLAM VSAM VTPB VTPP
Subtotal
General Studies        GEST
Subtotal
Other - Special         CLMD
Populations              COFD MARS POLS SABX SRPH
Subtotal
University                Total",Undergraduate,,,,,Masters,,,,PhD,,,Professional,,Total,
,"1st Time in College
1
1
1
1
1
5
1
11
4
2
2
8
6
6
19
19
94","1st Time PB
1
1
1
1
12","1st Time Transfer
7
35
28
9
15
4
2
26
7
32
6
171
17
2
19
19
19
34
34
715","Readmitted
3
2
2
10
2
4
3
1
1
10
2
13
2
55
8
1
4
13
2
2
60
60
247","Continuing
105
392
724
585
586
568
270
110
113
926
90
1,296
268
6,033
1,114
195
275
81
1,665
1,692
1,692
2,762
2,762
1
41
42
32,293",1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,1st Time Professional,Continuing,,
,,,,,,2,1,2,66,1,1,39,1,500,216,
,,,,,,,,,2,,,,,,404,
,,,,,,2,1,,13,,,24,,,802,
,,,,,,,6,,36,,,57,,,723,
,,,,,,2,1,,45,1,,62,,,709,
,,,,,,,,,25,,,37,,,649,
,,,,,,,,,17,,,,,,290,
,,,,,,,2,,14,,,,,,132,
,,,,,,,1,,22,,,6,,,146,
,,,,,,1,,,12,,,47,,,"1,027",
,,,,,,,,,,,,,,,100,
,,,,,,1,,,27,,,58,,,"1,427",
,,,,,,,2,,18,,,40,,,336,
,,,,,,8,14,,297,2,,370,,,"6,961",
,,,,,,2,2,,25,,,53,,,"1,226",
,,,,,,,1,,96,,,140,,,436,
,,,,,,4,22,,86,,,61,,,456,
,,,,,,,2,,33,2,,85,,,203,
,,,,,,1,2,,30,4,,43,,,80,
,,,,,,7,29,,270,6,1,382,,,"2,401",
,,,,,,,,,,,,,,,"2,221",
,,,,,,,,,14,,,28,,,42,
,,,,,,,,,4,,,,,,4,
,,,,,,,,,4,,,,,,4,
,,,,,,,1,,31,,,25,,,57,
,,,,,,,2,,7,1,,23,,,33,
,,,,,,,3,,60,1,,76,1,500,"2,361",
,,,,,,,,,,,,,,,"2,875",
,,,,,,,,,,,,,,,"2,875",
,,,,,,4,,,5,,,,,,9,
,,,,,,,4,,13,1,,2,,,20,
,,,,,,1,,,,,,,,,1,
,,,,,,,,,,,,,,,1,
,,,,,,5,,,,,,,,,46,
,,,,,,30,,,21,,,,,,51,
,,,,,,40,4,,39,1,,2,,,128,
,,,,,,174,352,,"3,981",100,7,"3,122",1,500,"41,600",
"Prepared by OISP, 05 May 04",,,,,,,,,,,,,,,,
