Office of Institutional Studies and Planning,,,,,
for the Corps of Cadets,,,,,
Spring 2004,,,,,
Official Certified 12th Class Data,,,,,
Spring 2004,,Not in Corps,In Corps,Grand Total,
Head Count,Total,"39,643","1,957","41,600",
Gender,Female,"19,725",134,"19,859",
,Male,"19,918","1,823","21,741",
Ethnicity,White,"30,039","1,620","31,659",
,Black,948,30,978,
,Hispanic,"3,384",226,"3,610",
,Asian,"1,196",43,"1,239",
,American Indian,178,11,189,
,International,"3,527",10,"3,537",
,Unknown/Other,371,17,388,
TAMU Age Categories,<18,7,,7,
,18-21,"16,945","1,075","18,020",
,22-25,"15,852",848,"16,700",
,26-30,"3,503",30,"3,533",
,31-39,"2,241",4,"2,245",
,40+,"1,095",,"1,095",
College,Agriculture,"6,051",328,"6,379",
,Architecture,"1,594",100,"1,694",
,Business Admin,"4,613",144,"4,757",
,Education,"4,755",76,"4,831",
,Engineering,"7,916",474,"8,390",
,G. Bush School of Govt,151,,151,
,Geosciences,630,42,672,
,Liberal Arts,"6,531",430,"6,961",
,Science,"2,356",45,"2,401",
,Veterinary Medicine,"2,316",45,"2,361",
,General Studies,"2,602",273,"2,875",
,Other - Special Populations,128,,128,
Enrollment Status,1st Time in College,89,5,94,
,1st Time PB,184,2,186,
,1st Time Graduate,448,4,452,
,1st Time Professional,1,,1,
,1st Time Transfer,710,5,715,
,Readmitted,251,5,256,
,Continuing,"37,960","1,936","39,896",
Tuition Status,Resident Tuition,"33,981","1,712","35,693",
,Non-Resident Tuition,"1,912",14,"1,926",
,Tuition Exemption/Waiver,"3,750",231,"3,981",
Residency Status,Texas Resident,"34,017","1,724","35,741",
,"Non-TX, US Resident","2,060",222,"2,282",
,"Non-TX, Non-US Resident","3,566",11,"3,577",
SCH Categories,< 6 SCH,"2,270",20,"2,290",
,6-8 SCH,"1,866",48,"1,914",
,9-11 SCH,"6,641",48,"6,689",
,12-14 SCH,"18,497","1,044","19,541",
,15-17 SCH,"9,174",704,"9,878",
,>17 SCH,"1,195",93,"1,288",
Ft/Pt:  TAMU Status,Less Than Half Time,"1,904",19,"1,923",
,Half-Time,"1,872",45,"1,917",
,Three-Quarter Time,"1,912",39,"1,951",
,Full-Time,"33,955","1,854","35,809",
"Prepared by OISP, 05 May 04",,,,,
