Spring 2004,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"5,198",0.1%,631,-1.9%,550,3.2%,,,"6,379",0.1%,
Gender,Female,"2,379",0.0%,315,-4.3%,213,8.7%,,,"2,907",0.1%,
,Male,"2,819",0.1%,316,0.6%,337,0.0%,,,"3,472",0.2%,
Ethnicity,White,"4,433",-1.3%,431,-0.5%,269,-2.2%,,,"5,133",-1.3%,
,Black,127,2.4%,10,0.0%,6,200.0%,,,143,5.1%,
,Hispanic,419,8.8%,30,15.4%,17,0.0%,,,466,8.9%,
,Asian,86,48.3%,5,-28.6%,16,0.0%,,,107,32.1%,
,American Indian,41,20.6%,1,100.0%,,,,,42,23.5%,
,International,49,11.4%,138,-12.1%,239,9.1%,,,426,1.4%,
,Unknown/Other,43,-24.6%,16,60.0%,3,-25.0%,,,62,-12.7%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,"2,095",0.5%,,,,,,,"2,095",0.5%,
,22-25,"2,805",-0.6%,295,0.3%,17,-26.1%,,,"3,117",-0.7%,
,26-30,206,4.6%,218,-1.4%,210,6.1%,,,634,2.9%,
,31-39,57,-12.3%,83,-10.8%,211,-1.9%,,,351,-5.9%,
,40+,35,34.6%,35,0.0%,112,15.5%,,,182,15.2%,
Enrollment,1st Time in College,5,400.0%,,,,,,,5,400.0%,
Status,1st Time PB,5,150.0%,13,-13.3%,,,,,18,5.9%,
,1st Time Graduate,,,50,-29.6%,15,-21.1%,,,65,-27.8%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,193,-20.2%,,,,,,,193,-20.2%,
,Readmitted,47,-29.9%,,,2,100.0%,,,49,-27.9%,
,Continuing,"4,948",1.4%,568,2.0%,533,3.9%,,,"6,049",1.6%,
Tuition,Resident Tuition,"4,952",-0.3%,363,0.0%,195,-2.5%,,,"5,510",-0.4%,
Status,Non-Resident Tuition,117,5.4%,49,-9.3%,79,29.5%,,,245,8.4%,
,Tuition  Exemption/Waiver,129,12.2%,219,-3.1%,276,1.5%,,,624,1.8%,
Residency,Texas Resident,"4,960",-0.3%,367,0.0%,198,-1.5%,,,"5,525",-0.3%,
Status,"Non-TX, US Resident",184,6.4%,126,6.8%,112,0.0%,,,422,4.7%,
,"Non-TX, Non-US Resident",54,12.5%,138,-12.7%,240,9.1%,,,432,1.4%,
SCH,< 6 SCH,103,14.4%,127,1.6%,125,5.0%,,,355,6.3%,
Categories,6-8 SCH,226,-2.6%,46,-19.3%,26,-13.3%,,,298,-6.6%,
,9-11 SCH,337,11.2%,432,4.6%,380,3.3%,,,"1,149",6.0%,
,12-14 SCH,"2,909",-1.6%,24,-47.8%,18,38.5%,,,"2,951",-2.2%,
,15-17 SCH,"1,460",0.3%,2,0.0%,1,-66.7%,,,"1,463",0.1%,
,>17 SCH,163,4.5%,,,,,,,163,4.5%,
Ft/Pt:,Less Than Half Time,91,13.8%,104,4.0%,111,11.0%,,,306,9.3%,
"TAMU
Status","Half-Time
Three-Quarter Time","215
332","3.9%
11.0%",67,-18.3%,39,-18.8%,,,"321
332","-4.7%
11.0%",
,Full-Time,"4,560",-1.0%,460,-0.2%,400,3.9%,,,"5,420",-0.6%,
"Prepared by OISP, 05 May 04",,,,,,,,,,,,
