Spring 2004,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"4,043",-4.4%,642,-10.8%,72,-5.3%,,,"4,757",-5.3%,
Gender,Female,"2,244",-2.8%,227,-23.3%,32,3.2%,,,"2,503",-5.0%,
,Male,"1,799",-6.2%,415,-2.1%,40,-11.1%,,,"2,254",-5.6%,
Ethnicity,White,"3,518",-3.9%,481,-4.8%,31,-3.1%,,,"4,030",-4.0%,
,Black,70,-16.7%,11,-8.3%,1,-66.7%,,,82,-17.2%,
,Hispanic,239,-5.2%,24,-27.3%,2,0.0%,,,265,-7.7%,
,Asian,141,4.4%,17,-19.0%,,,,,158,1.3%,
,American Indian,21,40.0%,1,-50.0%,0,-100.0%,,,22,22.2%,
,International,28,-31.7%,101,-21.7%,36,-2.7%,,,165,-20.3%,
,Unknown/Other,26,-35.0%,7,-61.1%,2,100.0%,,,35,-40.7%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,"2,439",-2.7%,0,-100.0%,,,,,"2,439",-2.8%,
,22-25,"1,558",-6.3%,380,7.3%,4,0.0%,,,"1,942",-3.9%,
,26-30,22,-29.0%,122,-29.5%,25,-3.8%,,,169,-26.5%,
,31-39,15,7.1%,86,-30.1%,28,-3.4%,,,129,-22.3%,
,40+,9,-30.8%,54,-20.6%,15,-11.8%,,,78,-20.4%,
Enrollment,1st Time in College,10,25.0%,,,,,,,10,25.0%,
Status,1st Time PB,,,2,0.0%,,,,,2,0.0%,
,1st Time Graduate,,,30,3.4%,0,-100.0%,,,30,-6.3%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,2,0.0%,,,,,,,2,0.0%,
,Readmitted,11,-31.3%,0,-100.0%,,,,,11,-35.3%,
,Continuing,"4,020",-4.3%,610,-11.3%,72,-1.4%,,,"4,702",-5.2%,
Tuition,Resident Tuition,"3,927",-4.0%,500,-5.8%,20,-9.1%,,,"4,447",-4.2%,
Status,Non-Resident Tuition,64,-11.1%,23,-23.3%,8,-11.1%,,,95,-14.4%,
,Tuition  Exemption/Waiver,52,-18.8%,119,-25.2%,44,-2.2%,,,215,-19.8%,
Residency,Texas Resident,"3,929",-4.1%,498,-5.5%,22,-8.3%,,,"4,449",-4.3%,
Status,"Non-TX, US Resident",85,-4.5%,41,-34.9%,14,-6.7%,,,140,-16.2%,
,"Non-TX, Non-US Resident",29,-31.0%,103,-20.8%,36,-2.7%,,,168,-19.6%,
SCH,< 6 SCH,38,26.7%,16,14.3%,13,8.3%,,,67,19.6%,
Categories,6-8 SCH,101,-3.8%,22,-29.0%,,,,,123,-9.6%,
,9-11 SCH,248,-2.4%,195,-30.4%,58,28.9%,,,501,-13.5%,
,12-14 SCH,"2,394",-5.6%,257,8.0%,1,-94.7%,,,"2,652",-5.0%,
,15-17 SCH,"1,220",-2.7%,73,35.2%,,,,,"1,293",-1.1%,
,>17 SCH,42,-14.3%,79,-23.3%,,,,,121,-20.4%,
Ft/Pt:,Less Than Half Time,32,18.5%,15,15.4%,11,-8.3%,,,58,11.5%,
"TAMU
Status","Half-Time
Three-Quarter Time","101
243","-1.9%
-2.0%",23,-28.1%,2,100.0%,,,"126
243","-6.7%
-2.0%",
,Full-Time,"3,667",-4.7%,604,-10.5%,59,-7.8%,,,"4,330",-5.6%,
"Prepared by OISP, 05 May 04",,,,,,,,,,,,
