Spring 2004,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"3,585",9.9%,570,5.6%,676,2.0%,,,"4,831",8.2%,
Gender,Female,"2,856",9.4%,425,3.9%,455,5.8%,,,"3,736",8.3%,
,Male,729,12.0%,145,10.7%,221,-5.2%,,,"1,095",7.9%,
Ethnicity,White,"3,153",9.1%,412,-2.4%,421,-1.4%,,,"3,986",6.6%,
,Black,66,-1.5%,35,45.8%,79,6.8%,,,180,9.1%,
,Hispanic,276,24.9%,77,48.1%,84,-1.2%,,,437,22.1%,
,Asian,40,37.9%,7,-30.0%,7,16.7%,,,54,20.0%,
,American Indian,23,0.0%,2,0.0%,1,-66.7%,,,26,-7.1%,
,International,9,28.6%,30,30.4%,75,25.0%,,,114,26.7%,
,Unknown/Other,18,-25.0%,7,0.0%,9,12.5%,,,34,-12.8%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,"1,720",13.0%,,,,,,,"1,720",13.0%,
,22-25,"1,725",7.2%,196,21.0%,16,6.7%,,,"1,937",8.5%,
,26-30,87,3.6%,155,6.2%,102,1.0%,,,344,3.9%,
,31-39,29,-6.5%,114,-3.4%,233,3.6%,,,376,0.5%,
,40+,24,60.0%,105,-7.9%,325,0.9%,,,454,0.7%,
Enrollment,1st Time in College,9,28.6%,,,,,,,9,28.6%,
Status,1st Time PB,1,-50.0%,65,32.7%,,,,,66,29.4%,
,1st Time Graduate,,,73,78.0%,26,-39.5%,,,99,17.9%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,136,4.6%,,,,,,,136,4.6%,
,Readmitted,23,130.0%,1,0.0%,4,33.3%,,,28,100.0%,
,Continuing,"3,416",9.8%,431,-4.0%,646,4.7%,,,"4,493",7.5%,
Tuition,Resident Tuition,"3,504",10.4%,487,3.4%,553,0.2%,,,"4,544",8.3%,
Status,Non-Resident Tuition,50,-3.8%,40,21.2%,39,0.0%,,,129,4.0%,
,Tuition  Exemption/Waiver,31,-11.4%,43,19.4%,84,16.7%,,,158,10.5%,
Residency,Texas Resident,"3,505",10.3%,490,2.9%,554,0.4%,,,"4,549",8.2%,
Status,"Non-TX, US Resident",71,-6.6%,50,25.0%,47,-6.0%,,,168,1.2%,
,"Non-TX, Non-US Resident",9,28.6%,30,25.0%,75,23.0%,,,114,23.9%,
SCH,< 6 SCH,39,56.0%,139,-5.4%,306,6.6%,,,484,5.4%,
Categories,6-8 SCH,308,27.3%,195,0.0%,129,-11.0%,,,632,8.6%,
,9-11 SCH,281,24.9%,150,13.6%,206,12.0%,,,637,17.7%,
,12-14 SCH,"1,740",8.5%,76,33.3%,31,-22.5%,,,"1,847",8.6%,
,15-17 SCH,"1,128",4.3%,9,0.0%,3,-57.1%,,,"1,140",3.9%,
,>17 SCH,89,6.0%,1,100.0%,1,100.0%,,,91,8.3%,
Ft/Pt:,Less Than Half Time,37,48.0%,108,-14.3%,252,2.9%,,,397,0.3%,
"TAMU
Status","Half-Time
Three-Quarter Time","112
247","33.3%
39.5%",224,4.2%,183,-2.1%,,,"519
247","6.8%
39.5%",
,Full-Time,"3,189",7.2%,238,19.6%,241,4.3%,,,"3,668",7.7%,
"Prepared by OISP, 05 May 04",,,,,,,,,,,,
