Spring 2004,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Architecture,ARCH,83,22.1%,1,0.0%,7,16.7%,7,75.0%,1,100.0%,104,-8.0%,3,0.0%,205,5.1%,
,COMG,20,0.0%,2,100.0%,1,0.0%,1,100.0%,,,51,-7.3%,2,0.0%,77,-2.5%,
,COSC,302,13.1%,3,200.0%,27,8.0%,4,33.3%,,,1,100.0%,1,100.0%,339,14.5%,
,COSL,206,-17.3%,2,0.0%,25,8.7%,5,25.0%,1,-50.0%,2,100.0%,2,100.0%,243,-13.5%,
,ENDL,220,2.3%,4,-42.9%,29,0.0%,8,0.0%,2,100.0%,3,100.0%,0,-100.0%,266,1.5%,
,ENDS,189,-22.2%,4,100.0%,24,26.3%,7,-46.2%,1,-50.0%,1,-66.7%,4,-42.9%,230,-20.4%,
,LAND,68,1.5%,,,2,0.0%,2,0.0%,1,100.0%,18,12.5%,3,-25.0%,94,3.3%,
,LANL,58,16.0%,2,100.0%,8,-11.1%,3,100.0%,1,0.0%,0,-100.0%,0,-100.0%,72,14.3%,
,LDEV,10,66.7%,1,0.0%,1,100.0%,,,,,10,42.9%,0,-100.0%,22,46.7%,
,URPL,16,60.0%,1,0.0%,5,66.7%,,,,,14,16.7%,1,100.0%,37,42.3%,
,URSC,12,-14.3%,1,0.0%,1,-50.0%,1,100.0%,,,28,33.3%,1,100.0%,44,15.8%,
,VIZA,37,-5.1%,,,7,16.7%,5,66.7%,0,-100.0%,15,7.1%,1,0.0%,65,1.6%,
,Subtotal,"1,221",-2.2%,21,23.5%,137,9.6%,43,16.2%,7,0.0%,247,1.6%,18,-18.2%,"1,694",-0.3%,
Business,ACCT,667,8.8%,15,50.0%,34,-5.6%,29,20.8%,0,-100.0%,22,-24.1%,5,-37.5%,772,6.9%,
Admin,AGBU,4,-20.0%,,,,,,,,,,,,,4,-20.0%,
,BUAD,"1,633",-4.3%,31,-39.2%,97,-19.8%,62,8.8%,10,150.0%,30,-50.8%,7,-58.8%,"1,870",-7.3%,
,BUAG,11,37.5%,,,,,,,,,,,,,11,37.5%,
,FINC,551,1.5%,7,16.7%,30,-3.2%,25,13.6%,4,33.3%,15,-48.3%,8,-27.3%,640,-0.8%,
,INFO,174,-35.6%,9,-25.0%,15,-31.8%,13,-48.0%,3,200.0%,14,-22.2%,2,-60.0%,230,-34.8%,
,MGMT,341,6.2%,7,-12.5%,37,19.4%,16,33.3%,3,0.0%,13,-31.6%,4,-42.9%,421,5.0%,
,MISY,40,-11.1%,3,200.0%,2,0.0%,2,0.0%,,,52,57.6%,1,-50.0%,100,17.6%,
,MKTG,559,-13.3%,9,-18.2%,47,6.8%,11,-15.4%,2,-60.0%,18,0.0%,8,-11.1%,654,-12.2%,
,MLER,50,22.0%,1,100.0%,3,100.0%,0,-100.0%,,,1,100.0%,,,55,31.0%,
,Subtotal,"4,030",-4.0%,82,-17.2%,265,-7.7%,158,1.3%,22,22.2%,165,-20.3%,35,-40.7%,"4,757",-5.3%,
Education,CPSY,31,-22.5%,3,50.0%,4,0.0%,1,100.0%,,,2,100.0%,,,41,-12.8%,
,EDAD,223,-6.7%,32,-5.9%,49,22.5%,1,-50.0%,2,0.0%,9,50.0%,6,0.0%,322,-2.1%,
,EDCI,186,20.8%,39,2.6%,21,23.5%,6,0.0%,1,0.0%,28,75.0%,2,100.0%,283,21.5%,
,EDHL,167,10.6%,7,250.0%,15,50.0%,4,100.0%,0,-100.0%,,,1,-66.7%,194,14.8%,
,EDIS,804,-0.7%,14,-22.2%,77,28.3%,6,0.0%,4,-42.9%,2,-33.3%,1,-50.0%,908,0.2%,
,EDIT,0,-100.0%,0,-100.0%,0,-100.0%,,,,,1,100.0%,,,1,-88.9%,
,EDKI,700,0.7%,21,16.7%,69,16.9%,11,10.0%,5,66.7%,2,-33.3%,5,-37.5%,813,2.1%,
,EDTC,30,11.1%,2,100.0%,3,50.0%,,,,,4,-33.3%,0,-100.0%,39,8.3%,
,EHRD,95,-15.2%,17,70.0%,27,-6.9%,3,-40.0%,,,18,12.5%,5,150.0%,165,-5.2%,
,EPSY,152,-1.9%,6,-14.3%,38,26.7%,1,-50.0%,0,-100.0%,23,0.0%,1,-66.7%,221,0.0%,
,HEED,24,4.3%,5,66.7%,,,,,,,1,0.0%,1,0.0%,31,10.7%,
,HLTH,104,-4.6%,3,-66.7%,10,-41.2%,2,-50.0%,1,100.0%,,,3,100.0%,123,-11.5%,
,INST,902,11.1%,10,42.9%,60,33.3%,7,133.3%,11,22.2%,2,100.0%,4,-42.9%,996,12.8%,
,ISNC,141,370.0%,6,500.0%,25,525.0%,7,250.0%,,,1,100.0%,1,100.0%,181,389.2%,
,KINE,362,13.8%,8,-27.3%,24,-4.0%,4,100.0%,2,-33.3%,18,63.6%,3,-25.0%,421,12.6%,
,PHED,8,14.3%,,,3,50.0%,0,-100.0%,0,-100.0%,1,0.0%,1,0.0%,13,0.0%,
,SPSY,26,-3.7%,7,75.0%,10,11.1%,1,100.0%,,,2,-33.3%,,,46,7.0%,
,TECR,31,29.2%,,,2,-33.3%,,,,,,,,,33,22.2%,
,Subtotal,"3,986",6.6%,180,9.1%,437,22.1%,54,20.0%,26,-7.1%,114,26.7%,34,-12.8%,"4,831",8.2%,
"Prepared by OISP, 05 May 04",,,,,,,,,,,,,,,,,,
