Spring 2004,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Geosciences,ATMO,33,0.0%,1,0.0%,0,-100.0%,1,0.0%,0,-100.0%,20,11.1%,3,50.0%,56,1.8%,
,ENGS,17,325.0%,,,3,200.0%,,,,,,,,,21,250.0%,
,ENST,24,140.0%,,,4,300.0%,,,,,1,100.0%,,,30,150.0%,
,ESCI,3,-75.0%,,,0,-100.0%,,,,,,,,,3,-76.9%,
,GEOG,140,-6.0%,3,-25.0%,16,-15.8%,1,100.0%,,,14,-17.6%,1,-50.0%,175,-8.9%,
,GEOL,116,-1.7%,,,4,-55.6%,1,-66.7%,,,25,19.0%,3,50.0%,149,-2.6%,
,GEOP,22,4.8%,1,100.0%,1,0.0%,2,100.0%,1,0.0%,16,-5.9%,1,-66.7%,44,0.0%,
,GEOS,4,300.0%,1,100.0%,,,,,,,,,,,5,400.0%,
,METR,108,-15.0%,0,-100.0%,5,-37.5%,1,0.0%,,,3,50.0%,,,117,-16.4%,
,OCNG,44,10.0%,,,1,0.0%,1,0.0%,,,26,0.0%,,,72,5.9%,
,Subtotal,511,-0.8%,6,-14.3%,34,-20.9%,7,0.0%,1,-50.0%,105,4.0%,8,-11.1%,672,-1.8%,
Liberal Arts,AMST,28,27.3%,,,3,-25.0%,,,0,-100.0%,,,,,31,14.8%,
,ANTH,167,-6.2%,1,0.0%,24,-11.1%,5,-37.5%,1,0.0%,12,9.1%,6,20.0%,216,-6.5%,
,COML,,,,,,,,,,,3,200.0%,,,3,200.0%,
,ECON,509,-9.4%,16,128.6%,71,4.4%,29,-14.7%,1,-50.0%,88,10.0%,9,-10.0%,723,-5.2%,
,ENGL,577,-0.3%,26,30.0%,54,5.9%,11,37.5%,5,25.0%,24,-7.7%,11,-8.3%,708,1.1%,
,FREN,10,66.7%,,,2,0.0%,,,,,,,,,12,50.0%,
,GERM,6,50.0%,,,2,100.0%,1,0.0%,,,,,,,9,50.0%,
,HIST,570,15.4%,6,-33.3%,49,-14.0%,4,0.0%,4,-33.3%,3,200.0%,13,-18.8%,649,10.6%,
,INTS,266,6.0%,10,25.0%,67,24.1%,13,-7.1%,4,300.0%,5,25.0%,6,20.0%,371,10.1%,
,JOUR,244,-46.3%,7,-46.2%,15,-62.5%,2,-50.0%,1,0.0%,1,-50.0%,3,-25.0%,273,-47.3%,
,MODL,7,-22.2%,,,7,16.7%,,,,,2,0.0%,,,16,-5.9%,
,MUSC,23,35.3%,2,100.0%,2,-33.3%,,,,,,,,,27,28.6%,
,PHIL,113,0.9%,1,0.0%,18,50.0%,2,-33.3%,,,4,33.3%,8,14.3%,146,5.8%,
,POLS,858,4.4%,26,-3.7%,104,2.0%,18,-5.3%,3,0.0%,13,-13.3%,5,-54.5%,"1,027",2.8%,
,PSYC,"1,147",-4.6%,51,4.1%,153,5.5%,39,-11.4%,5,-37.5%,16,23.1%,16,-5.9%,"1,427",-3.5%,
,RUSS,4,-50.0%,,,1,0.0%,,,,,,,,,5,-44.4%,
,SCOM,672,-3.7%,8,-20.0%,68,-4.2%,4,-69.2%,7,0.0%,7,40.0%,9,-10.0%,775,-4.8%,
,SOCI,248,0.0%,14,0.0%,44,33.3%,7,-22.2%,2,100.0%,20,0.0%,1,-75.0%,336,2.4%,
,SPAN,55,34.1%,,,35,34.6%,,,,,,,0,-100.0%,90,32.4%,
,STJR,9,-10.0%,1,100.0%,1,0.0%,,,,,6,20.0%,,,17,6.3%,
,TCMS,24,242.9%,,,2,100.0%,1,100.0%,,,,,0,-100.0%,27,200.0%,
,THAR,61,17.3%,2,-33.3%,10,0.0%,,,0,-100.0%,,,0,-100.0%,73,9.0%,
,Subtotal,"5,598",-3.1%,171,4.9%,732,2.4%,136,-15.5%,33,-5.7%,204,8.5%,87,-16.3%,"6,961",-2.5%,
"Prepared by OISP, 05 May 04",,,,,,,,,,,,,,,,,,
