Spring 2004,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,,,151,20.8%,,,,,151,20.8%,
Gender,Female,,,65,8.3%,,,,,65,8.3%,
,Male,,,86,32.3%,,,,,86,32.3%,
Ethnicity,White,,,120,29.0%,,,,,120,29.0%,
,Black,,,6,100.0%,,,,,6,100.0%,
,Hispanic,,,12,-25.0%,,,,,12,-25.0%,
,Asian,,,3,0.0%,,,,,3,0.0%,
,American Indian,,,0,-100.0%,,,,,0,-100.0%,
,International,,,8,60.0%,,,,,8,60.0%,
,Unknown/Other,,,2,-33.3%,,,,,2,-33.3%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,,,0,-100.0%,,,,,0,-100.0%,
,22-25,,,63,-12.5%,,,,,63,-12.5%,
,26-30,,,39,44.4%,,,,,39,44.4%,
,31-39,,,31,93.8%,,,,,31,93.8%,
,40+,,,18,100.0%,,,,,18,100.0%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,21,5.0%,,,,,21,5.0%,
,1st Time Graduate,,,3,100.0%,,,,,3,100.0%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,,,,,,,,,,,
,Readmitted,,,,,,,,,,,
,Continuing,,,127,21.0%,,,,,127,21.0%,
Tuition,Resident Tuition,,,104,18.2%,,,,,104,18.2%,
Status,Non-Resident Tuition,,,13,116.7%,,,,,13,116.7%,
,Tuition  Exemption/Waiver,,,34,9.7%,,,,,34,9.7%,
Residency,Texas Resident,,,104,14.3%,,,,,104,14.3%,
Status,"Non-TX, US Resident",,,38,31.0%,,,,,38,31.0%,
,"Non-TX, Non-US Resident",,,9,80.0%,,,,,9,80.0%,
SCH,< 6 SCH,,,50,92.3%,,,,,50,92.3%,
Categories,6-8 SCH,,,11,-15.4%,,,,,11,-15.4%,
,9-11 SCH,,,12,20.0%,,,,,12,20.0%,
,12-14 SCH,,,74,15.6%,,,,,74,15.6%,
,15-17 SCH,,,4,-63.6%,,,,,4,-63.6%,
,>17 SCH,,,0,-100.0%,,,,,0,-100.0%,
Ft/Pt:,Less Than Half Time,,,48,92.0%,,,,,48,92.0%,
"TAMU
Status","Half-Time
Three-Quarter Time",,,13,-7.1%,,,,,13,-7.1%,
,Full-Time,,,90,4.7%,,,,,90,4.7%,
"Prepared by OISP, 05 May 04",,,,,,,,,,,,
