Students by Country by Level,,,,,,
Country,Undergraduate,Masters,PhD,Professional,Total Students,
Guatemala,22,1,1,,24,
Honduras,14,2,1,,17,
Hong Kong,11,2,9,,22,
Iceland,,2,1,,3,
India,75,547,180,,802,
Indonesia,52,22,13,,87,
Iran,3,14,17,,34,
Iraq,,,1,,1,
Ireland,,1,,,1,
Israel,2,,2,,4,
Italy,2,4,4,,10,
Jamaica,1,2,3,,6,
Japan,4,15,11,,30,
Jordan,2,8,12,,22,
Kazakhstan,5,5,1,,11,
Kenya,2,1,2,,5,
"Korea, Republic of",29,179,400,,608,
Kuwait,,2,3,,5,
Lebanon,3,4,8,,15,
Liberia,1,,,,1,
Lithuania,1,,,,1,
Macao,1,,,,1,
Macedonia,,1,,,1,
Madagascar,,,1,,1,
Malawi (Central Africa),,,2,,2,
Malaysia,11,3,4,,18,
Mali,,,3,,3,
Mauritius,,,1,,1,
Mexico,29,34,58,,121,
Moldova,,,1,,1,
Morocco,,4,2,,6,
Mozambique,,1,,,1,
Nepal,1,3,,,4,
Netherlands,,2,2,,4,
Nicaragua,5,,,,5,
Niger,,,1,,1,
Nigeria,20,24,7,,51,
Norway,2,3,2,,7,
Oman,1,1,,,2,
Pakistan,18,5,7,,30,
Panama,6,,,,6,
Paraguay,1,,1,,2,
Peru,2,10,7,,19,
72,,,,,,
